wavelength_um,emissivity
0.8,0.71221527951854
0.800332066413283,0.713264042471114
0.800664132826565,0.714290289456974
0.800996199239848,0.715324573635274
0.801328265653131,0.716341114901431
0.801660332066413,0.717399837451394
0.801992398479696,0.718471183051313
0.802324464892979,0.719519143574738
0.802656531306261,0.720544837040298
0.802988597719544,0.72156360662978
0.803320664132827,0.722666630821678
0.803652730546109,0.723814935273772
0.803984796959392,0.724960557040595
0.804316863372674,0.72606663566249
0.804648929785957,0.727147953187743
0.80498099619924,0.728108691198399
0.805313062612522,0.729046062794744
0.805645129025805,0.729932987266894
0.805977195439088,0.73079113967021
0.806309261852371,0.731655878849204
0.806641328265653,0.732495978390011
0.806973394678936,0.733328925707458
0.807305461092218,0.734170327111439
0.807637527505501,0.735008027144718
0.807969593918784,0.735832894126341
0.808301660332066,0.736644921620684
0.808633726745349,0.737444930526199
0.808965793158632,0.738184498923965
0.809297859571914,0.73890615826168
0.809629925985197,0.739622141057491
0.80996199239848,0.740338077234492
0.810294058811762,0.74105954679854
0.810626125225045,0.741788505409842
0.810958191638328,0.742520099565124
0.81129025805161,0.743248759747744
0.811622324464893,0.743970374064773
0.811954390878176,0.744679695462251
0.812286457291458,0.745347543522775
0.812618523704741,0.746028059051572
0.812950590118024,0.746717433279671
0.813282656531306,0.747399812385394
0.813614722944589,0.747994094918407
0.813946789357872,0.748424573886663
0.814278855771154,0.748832694129804
0.814610922184437,0.749232828525762
0.81494298859772,0.749638261765143
0.815275055011002,0.750104817258937
0.815607121424285,0.750628552182415
0.815939187837567,0.751159884997301
0.81627125425085,0.751861885904341
0.816603320664133,0.752555063032081
0.816935387077415,0.753241063379981
0.817267453490698,0.753921307070293
0.817599519903981,0.754589762408719
0.817931586317263,0.755231310203977
0.818263652730546,0.755866857389893
0.818595719143829,0.756430384873153
0.818927785557111,0.756971775526924
0.819259851970394,0.757370800175072
0.819591918383677,0.757547586728631
0.819923984796959,0.757720225683512
0.820256051210242,0.757890506989681
0.820588117623525,0.758060211068157
0.820920184036807,0.758231043788166
0.82125225045009,0.758404664116831
0.821584316863373,0.75858268786283
0.821916383276655,0.758763307661677
0.822248449689938,0.758938717215078
0.822580516103221,0.759100515262412
0.822912582516503,0.759242094297713
0.823244648929786,0.759366784372125
0.823576715343069,0.759481349072049
0.823908781756351,0.759592375464432
0.824240848169634,0.759702380845573
0.824572914582917,0.75980974421928
0.824904980996199,0.759912661012789
0.825237047409482,0.760013744942024
0.825569113822765,0.760118935862558
0.825901180236047,0.760219064734881
0.82623324664933,0.760314585291896
0.826565313062612,0.760405586757774
0.826897379475895,0.760491942961659
0.827229445889178,0.760573525757147
0.82756151230246,0.760650269582588
0.827893578715743,0.760722214296857
0.828225645129026,0.760789409724795
0.828557711542308,0.760851893186302
0.828889777955591,0.760909636214017
0.829221844368874,0.760962588467782
0.829553910782156,0.761010704294648
0.829885977195439,0.761322753607598
0.830218043608722,0.76165468138134
0.830550110022004,0.761955499273228
0.830882176435287,0.762224720114279
0.83121424284857,0.762486806707595
0.831546309261852,0.762718540755406
0.831878375675135,0.762944137089108
0.832210442088418,0.763147573582096
0.8325425085017,0.76333926361555
0.832874574914983,0.763481429260887
0.833206641328266,0.763462050551794
0.833538707741548,0.763443826362204
0.833870774154831,0.763426587779733
0.834202840568114,0.763409982043485
0.834534906981396,0.763392720655296
0.834866973394679,0.763373218099454
0.835199039807962,0.763349884507527
0.835531106221244,0.763321044369652
0.835863172634527,0.763284941327914
0.83619523904781,0.763239818725302
0.836527305461092,0.763186375189587
0.836859371874375,0.763132076832671
0.837191438287658,0.763085547774308
0.83752350470094,0.763054462709914
0.837855571114223,0.763018821096403
0.838187637527505,0.762983578077642
0.838519703940788,0.762942760522178
0.838851770354071,0.762878928455699
0.839183836767354,0.762804890559113
0.839515903180636,0.762691501324821
0.839847969593919,0.762554415861727
0.840180036007201,0.762404864569399
0.840512102420484,0.76225401779052
0.840844168833767,0.762110625944412
0.841176235247049,0.76190013049241
0.841508301660332,0.761693478373179
0.841840368073615,0.761483413865816
0.842172434486897,0.76126474697466
0.84250450090018,0.761037783998377
0.842836567313463,0.76080373112828
0.843168633726745,0.760563877672342
0.843500700140028,0.760320224282465
0.843832766553311,0.760075148694267
0.844164832966593,0.75987316304376
0.844496899379876,0.759754054001023
0.844828965793159,0.759634360735451
0.845161032206441,0.759511647661667
0.845493098619724,0.7593836779964
0.845825165033007,0.759249150651891
0.846157231446289,0.759107035294861
0.846489297859572,0.758956512842463
0.846821364272854,0.758800630483876
0.847153430686137,0.758645809815643
0.84748549709942,0.758498585211134
0.847817563512703,0.758361699449971
0.848149629925985,0.758179518098576
0.848481696339268,0.7578357118483
0.84881376275255,0.757478994305503
0.849145829165833,0.757130052284374
0.849477895579116,0.756773449941971
0.849809961992398,0.756416700615194
0.850142028405681,0.756067082735935
0.850474094818964,0.755709587046634
0.850806161232247,0.755611545939294
0.851138227645529,0.755515573906628
0.851470294058812,0.755264760631245
0.851802360472094,0.754889555890287
0.852134426885377,0.754505275463
0.85246649329866,0.754073675601728
0.852798559711942,0.753644743476543
0.853130626125225,0.753122134657653
0.853462692538508,0.752553071874562
0.85379475895179,0.751995394082667
0.854126825365073,0.751457450621308
0.854458891778356,0.750916228542185
0.854790958191638,0.75036586787285
0.855123024604921,0.749799341280399
0.855455091018204,0.749234860426154
0.855787157431486,0.74867953034981
0.856119223844769,0.748115850817447
0.856451290258052,0.74756801745682
0.856783356671334,0.747039633141882
0.857115423084617,0.746483020856801
0.8574474894979,0.74589584715322
0.857779555911182,0.745227811638522
0.858111622324465,0.744282775515379
0.858443688737747,0.743320702999876
0.85877575515103,0.742569100937208
