Radius,Profile
0.01134456,0.07650705348286364
0.03403368,0.0029239896242428142
0.056722800000000004,0.0010882737544426297
0.07941192,0.0005053073437828858
0.10210104,0.0003316954779564233
0.12479016,0.00020793667382643915
0.14747928,0.0001388226546706309
0.1701684,9.087370299119684e-05
0.19285752,7.658401298794209e-05
0.21554664,6.098302568361722e-05
0.23823576,4.927209492275581e-05
0.26092488,4.041180806034006e-05
0.283614,3.4641767677693274e-05
0.30630312,2.6305937609969e-05
0.32899224,2.280691375566331e-05
0.35168136,1.969005803216683e-05
0.37437048,1.6881765816517205e-05
0.3970596,1.4662658559235326e-05
0.41974872,1.2869661810808487e-05
0.44243784,1.2356191082775586e-05
0.46512696,1.1749768610279362e-05
0.48781608,1.0892349597070112e-05
0.5105052,9.809183712159809e-06
0.53319432,8.996083314328569e-06
0.55588344,7.491298689001708e-06
0.57857256,6.715495231140617e-06
0.60126168,5.934387814550837e-06
0.6239508,5.514476197623468e-06
0.64663992,4.585304131042715e-06
0.66932904,4.276687809579016e-06
0.69201816,3.7851458685198744e-06
0.7147072800000001,3.4422598261349394e-06
0.7373964,3.1189702016256278e-06
0.76008552,2.785778215614965e-06
0.78277464,2.5099694524804594e-06
0.80546376,2.324463503433999e-06
0.82815288,2.119775502710869e-06
0.850842,1.91493715911246e-06
0.87353112,1.7098070345938457e-06
0.89622024,1.54885643391117e-06
0.91890936,1.4425244140699859e-06
0.94159848,1.3101684816563051e-06
0.9642876,1.2305061969675885e-06
0.98697672,1.114199013177098e-06
1.00966584,1.0043744152583462e-06
1.03235496,9.156311680621029e-07
1.05504408,8.736589303397819e-07
1.0777332,8.204276936447803e-07
1.10042232,7.495041599290131e-07
1.12311144,6.697708925470075e-07
1.14580056,6.090862285701654e-07
1.16848968,5.561323907344589e-07
1.1911788,5.20065608162444e-07
1.21386792,4.860969976131235e-07
1.23655704,4.492869462947882e-07
1.25924616,4.1900852250103357e-07
1.28193528,3.872108243413132e-07
1.3046244,3.6465826899716133e-07
1.32731352,3.474501998378905e-07
