Radius,Profile
0.00721926,0.04678479347171055
0.02165778,0.0031998199210156106
0.0360963,0.001487088216264488
0.05053482,0.0007679913457619743
0.06497334,0.0005240804455317742
0.07941186,0.00033358748777680055
0.09385038,0.000229385394656371
0.1082889,0.00016543792216955726
0.12272742,0.00013788297918064616
0.13716594,0.00010863649903705317
0.15160446,9.094245360070348e-05
0.16604298,7.530661527915738e-05
0.1804815,6.466738760368614e-05
0.19492002,5.1724623785944686e-05
0.20935854,4.324633817274456e-05
0.22379706,3.781079725666655e-05
0.23823558,3.291547297196608e-05
0.2526741,2.8860583919920644e-05
0.26711262,2.579927220745483e-05
0.28155114,2.407197803642714e-05
0.29598966,2.276745378446666e-05
0.31042818,2.1234963445198895e-05
0.3248667,1.927869877628197e-05
0.33930522,1.7395105982557368e-05
0.35374374,1.501673799048471e-05
0.36818226,1.3377535311505427e-05
0.38262078,1.1948443892360848e-05
0.3970593,1.0863528124751606e-05
0.41149782,9.38168930873535e-06
0.42593633999999997,8.634407277754322e-06
0.44037486,7.719986316094147e-06
0.45481338,6.989625551875619e-06
0.4692519,6.307566344900912e-06
0.48369042,5.674653209217514e-06
0.49812894,5.143768504004837e-06
0.51256746,4.739856799219193e-06
0.52700598,4.287416095319906e-06
0.5414445,3.98381542687598e-06
0.55588302,3.5739772964994693e-06
0.57032154,3.2479218000794294e-06
0.58476006,3.0190566410700134e-06
0.59919858,2.7484008899354407e-06
0.6136371,2.584409033105274e-06
0.62807562,2.331444166349065e-06
0.64251414,2.125890041243216e-06
0.65695266,1.9577773262741526e-06
0.67139118,1.850618087327859e-06
0.6858297,1.7308070331547133e-06
0.70026822,1.6008113560834182e-06
0.71470674,1.4544524962003973e-06
0.72914526,1.341274360831502e-06
0.74358378,1.2345249242850886e-06
0.7580223,1.1566444211861615e-06
0.7724608199999999,1.075357776422146e-06
0.78689934,1.011724690308504e-06
0.80133786,9.488980514472432e-07
0.81577638,8.748097183073011e-07
0.8302149,8.219206307538483e-07
0.84465342,7.835896614553076e-07
0.85909194,7.307923424869156e-07
0.87353046,6.942151887118522e-07
0.88796898,6.30035906396914e-07
0.9024075,5.975387438184043e-07
0.91684602,5.659992668076069e-07
0.9312845399999999,5.315442983764318e-07
0.94572306,5.022119977425244e-07
0.96016158,4.686566446232275e-07
0.9746001,4.444992451526583e-07
0.98903862,4.245112859314014e-07
1.00347714,4.0030757857496296e-07
1.0179156599999999,3.8367733145247315e-07
1.03235418,3.67124269331814e-07
1.0467927,3.5177499133391646e-07
1.06123122,3.277783178951654e-07
1.07566974,3.1184568989260576e-07
1.09010826,2.979384833130136e-07
1.10454678,2.813252578555709e-07
1.1189853,2.725006071939516e-07
1.13342382,2.5957344127606665e-07
1.14786234,2.516228477283802e-07
1.16230086,2.3822010224828346e-07
1.17673938,2.3265506531664192e-07
1.1911779,2.2440720208339126e-07
1.20561642,2.181053146261624e-07
1.22005494,2.136881130849731e-07
1.23449346,1.984932522990131e-07
1.24893198,1.911305434704327e-07
1.2633705,1.8295126872191753e-07
1.27780902,1.7509054183109392e-07
1.29224754,1.7091063594188525e-07
1.30668606,1.6712922202339902e-07
1.32112458,1.5952155021592514e-07
1.3355631,1.5147629832492914e-07
1.35000162,1.4761107676387027e-07
1.36444014,1.431544309986365e-07
1.37887866,1.3977150075697683e-07
1.39331718,1.3787541706765134e-07
1.4077557,1.2973912823639235e-07
1.42219422,1.2302686255652787e-07
1.43663274,1.1915057491401072e-07
1.45107126,1.156094338352981e-07
1.4655097799999999,1.110221390006353e-07
1.4799483,1.065356444086089e-07
1.49438682,1.0301380425926531e-07
1.50882534,9.914935965745665e-08
1.52326386,9.730771055635651e-08
1.53770238,9.336370487415285e-08
1.5521409,8.962503088370643e-08
1.56657942,9.058895680988837e-08
1.58101794,8.078028927933356e-08
1.59545646,7.841614780187058e-08
1.60989498,7.464248988493168e-08
1.6243334999999999,7.246125909911818e-08
1.63877202,6.967821403178379e-08
1.65321054,6.730316845780165e-08
1.66764906,6.486837867517923e-08
1.68208758,6.147997550251202e-08
1.6965261,6.066049444907508e-08
1.71096462,5.886479396970079e-08
1.72540314,5.7444910888696844e-08
1.73984166,5.733340186590763e-08
1.75428018,5.226092214629418e-08
1.7687187,4.9359052845993104e-08
1.7831572199999999,4.8176387153584115e-08
1.79759574,4.575033455532516e-08
1.81203426,4.400960495830085e-08
1.82647278,4.280603680688245e-08
1.8409113,4.1301190832636274e-08
1.85534982,4.009315766607257e-08
1.86978834,3.844447052572036e-08
1.88422686,3.750843336314816e-08
1.89866538,3.6942776820527774e-08
1.9131039,3.921747824928609e-08
1.92754242,3.438409043191143e-08
1.9419809399999999,3.250705546967008e-08
1.95641946,3.17151593156931e-08
1.97085798,3.098235596638601e-08
1.9852965,3.0405166316623443e-08
1.99973502,2.942623354728069e-08
2.01417354,2.8904744472015824e-08
2.02861206,2.836329635409434e-08
2.04305058,2.7785691583240556e-08
2.0574891,2.736524290612961e-08
2.07192762,2.752062378524372e-08
2.08636614,2.916159352568793e-08
2.10080466,2.64017038131325e-08
2.11524318,2.479690561687986e-08
2.1296817,2.4554260949156156e-08
2.14412022,2.4107217077714623e-08
2.15855874,2.3681234622674907e-08
2.17299726,2.3103400062898913e-08
2.18743578,2.2851500241970252e-08
2.2018743,2.2640114793142868e-08
2.21631282,2.2485054485161765e-08
2.23075134,2.202268701489082e-08
2.24518986,2.203274975330248e-08
2.25962838,2.3754610878870925e-08
2.2740669,2.1844241210853262e-08
2.28850542,2.024269517586825e-08
2.30294394,1.9842484640740004e-08
2.31738246,1.947944257048292e-08
2.33182098,1.9194884034428733e-08
2.3462595,1.8647897323949626e-08
2.36069802,1.8287566682882087e-08
2.37513654,1.789907006960863e-08
2.38957506,1.7800410306405856e-08
2.40401358,1.7455276893443453e-08
2.4184521,1.724656362535785e-08
2.43289062,1.8706342643409422e-08
2.44732914,1.7330731685346066e-08
2.46176766,1.5705447004292886e-08
2.47620618,1.527666091452402e-08
2.4906447,1.4732174679507673e-08
2.50508322,1.43568898378112e-08
2.51952174,1.408959897669775e-08
2.53396026,1.362722398327109e-08
2.54839878,1.3284155489969725e-08
2.5628373,1.3122013678056681e-08
2.57727582,1.2887398751687806e-08
2.59171434,1.2558287788769786e-08
2.60615286,1.3371962912164864e-08
2.62059138,1.2877043662682872e-08
2.6350299,1.11174926272144e-08
2.64946842,1.0780573887001115e-08
2.66390694,1.0356749641182946e-08
2.67834546,1.0062213168951886e-08
2.69278398,9.828362131510686e-09
2.7072225,9.696534844166271e-09
2.72166102,9.286040760123333e-09
2.73609954,9.020613510801498e-09
2.75053806,8.988103809705314e-09
2.76497658,8.806719893203437e-09
2.7794151,9.458481123371468e-09
2.79385362,9.636076336590861e-09
2.80829214,7.907809704658427e-09
2.82273066,7.585751464785354e-09
2.83716918,7.256598795315122e-09
2.8516076999999997,7.141314615104302e-09
2.86604622,7.061864413129203e-09
