wavelength_um,coupling_eff_mode1,coupling_eff_mode2,coupling_eff_mode3
0.98,0.612956583904922,0.00804634775267019,2.36772614667281e-09
0.987081632653061,0.617228358013622,0.00793499372366027,2.30697605916268e-09
0.994163265306122,0.621424570223674,0.00782356877867565,2.24755836862311e-09
1.00124489795918,0.625545461350164,0.00771208554367341,2.18943574441846e-09
1.00832653061224,0.629591268695796,0.0076005549121312,2.13257193237479e-09
1.01540816326531,0.633562226227212,0.00748898610781711,2.07693171762228e-09
1.02248979591837,0.637458564809749,0.00737738673394653,2.02248088565431e-09
1.02957142857143,0.64128051249065,0.00726576280917986,1.96918618194104e-09
1.03665306122449,0.645028294822508,0.00715411879079507,1.91701527035967e-09
1.04373469387755,0.648702135218786,0.00704245758525437,1.86593669068995e-09
1.05081632653061,0.652302255334849,0.00693078054627582,1.81591981522554e-09
1.05789795918367,0.655828875467709,0.00681908746038706,1.76693480478864e-09
1.06497959183673,0.659282214969371,0.00670737651980017,1.71895256400076e-09
1.0720612244898,0.662662492668623,0.00659564428233333,1.67194469602122e-09
1.07914285714286,0.665969927296792,0.00648388561791638,1.62588345657023e-09
1.08622448979592,0.669204737913883,0.0063720936410965,1.58074170731584e-09
1.09330612244898,0.672367144331362,0.00626025962874589,1.53649286838237e-09
1.10038775510204,0.675457367528965,0.00614837292200623,1.49311086997873e-09
1.1074693877551,0.678475630062797,0.00603642081128014,1.45057010281993e-09
1.11455102040816,0.681422156462616,0.00592438840283186,1.40884536724138e-09
1.12163265306122,0.684297173616393,0.00581225846530186,1.36791182064613e-09
1.12871428571429,0.687100911140658,0.00570001125412708,1.32774492302188e-09
1.13579591836735,0.689833601735429,0.00558762431150739,1.28832038008612e-09
1.14287755102041,0.692495481522492,0.00547507223915191,1.24961408369183e-09
1.14995918367347,0.69508679036626,0.00536232644057596,1.21160204894095e-09
1.15704081632653,0.697607772176887,0.00524935482915588,1.17426034741743e-09
1.16412244897959,0.700058675194724,0.00513612149748885,1.1375650358351e-09
1.17120408163265,0.702439752256095,0.0050225863428173,1.10149207933492e-09
1.17828571428571,0.704751261040302,0.00490870464229552,1.06601726843011e-09
1.18536734693878,0.706993464297686,0.00479442657066563,1.03111612844338e-09
1.19244897959184,0.709166630058765,0.00467969665138053,9.96763820120079e-10
1.1995306122449,0.711271031824858,0.00456445313023482,9.6293502964387e-10
1.20661224489796,0.713306948740224,0.00444862725794878,9.29603846017746e-10
1.21369387755102,0.71527466574617,0.00433214246464853,8.96743623089994e-10
1.22077551020408,0.71717447371729,0.00421491340432107,8.64326822789928e-10
1.22785714285714,0.7190066695808,0.00409684484049785,8.32324834978726e-10
1.2349387755102,0.720771556418703,0.00397783033451047,8.00707767683934e-10
1.24202040816327,0.722469443553868,0.00385775068301457,7.69444199002573e-10
1.24910204081633,0.724100646620444,0.00373647202922907,7.38500878329615e-10
1.25618367346939,0.725665487618993,0.00361384353773792,7.07842358559798e-10
1.26326530612245,0.727164294956979,0.00348969446742098,6.77430531726799e-10
1.27034693877551,0.728597403475489,0.00336383038627074,6.47224025067816e-10
1.27742857142857,0.729965154462394,0.00323602811796346,6.1717738847544e-10
1.28451020408163,0.731267895652818,0.0031060287398651,5.87239958477617e-10
1.29159183673469,0.732505981217317,0.00297352745776985,5.57354200046221e-10
1.29867346938776,0.733679771738791,0.00283815823192431,5.27453166259706e-10
1.30575510204082,0.734789634178057,0.00269946908492227,4.97456385816258e-10
1.31283673469388,0.73583594182935,0.00255687972562473,4.67262758256837e-10
1.31991836734694,0.736819074266041,0.00240960260676017,4.36737247291946e-10
1.327,0.73773941727702,0.0022564789138155,4.05683113416922e-10
1.49,0.726997086451833,0,0
1.50979591836735,0.725987987464191,0,0
1.52959183673469,0.725030286692314,0,0
1.54938775510204,0.724129353125998,0,0
1.56918367346939,0.723289818813908,0,0
1.58897959183673,0.722515603848181,0,0
1.60877551020408,0.721809940235088,0,0
1.62857142857143,0.721175394898052,0,0
1.64836734693878,0.720613892016563,0,0
1.66816326530612,0.720126734866139,0,0
1.68795918367347,0.719714627293834,0,0
1.70775510204082,0.719377694935822,0,0
1.72755102040816,0.71911550626268,0,0
1.74734693877551,0.718927093518813,0,0
1.76714285714286,0.718810973608074,0,0
1.7869387755102,0.718765168966103,0,0
1.80673469387755,0.718787228448991,0,0
1.8265306122449,0.718874248262627,0,0
1.84632653061224,0.719022892948754,0,0
1.86612244897959,0.719229416441057,0,0
1.88591836734694,0.71948968319983,0,0
1.90571428571429,0.719799189431128,0,0
1.92551020408163,0.720153084394302,0,0
1.94530612244898,0.720546191798862,0,0
1.96510204081633,0.72097303129078,0,0
1.98489795918367,0.721427840025556,0,0
2.00469387755102,0.721904594324206,0,0
2.02448979591837,0.722397031406721,0,0
2.04428571428571,0.722898671194477,0,0
2.06408163265306,0.723402838172895,0,0
2.08387755102041,0.723902683301464,0,0
2.10367346938776,0.724391205957966,0,0
2.1234693877551,0.724861275900189,0,0
2.14326530612245,0.725305655226301,0,0
2.1630612244898,0.725717020313258,0,0
2.18285714285714,0.726087983709704,0,0
2.20265306122449,0.726411115957481,0,0
2.22244897959184,0.726678967314257,0,0
2.24224489795918,0.726884089347047,0,0
2.26204081632653,0.727019056364764,0,0
2.28183673469388,0.727076486656156,0,0
2.30163265306122,0.727049063498208,0,0
2.32142857142857,0.726929555898315,0,0
2.34122448979592,0.726710839033062,0,0
2.36102040816327,0.726385914345703,0,0
2.38081632653061,0.72594792926372,0,0
2.40061224489796,0.725390196498248,0,0
2.42040816326531,0.724706212887051,0,0
