# wavelength (nm),transmission (I/F) 
8.024999999999977707e-01,1.848566794262251278e+01
8.025499999999976541e-01,1.844955125713244115e+01
8.025999999999976486e-01,1.841347773219768769e+01
8.026499999999976431e-01,1.837744734901912835e+01
8.026999999999975266e-01,1.834146008878717282e+01
8.027499999999975211e-01,1.830551593268187460e+01
8.027999999999974046e-01,1.826961486187280670e+01
8.028499999999973991e-01,1.823375685751913977e+01
8.028999999999973936e-01,1.819794190076963858e+01
8.029499999999972770e-01,1.816216997276258382e+01
8.029999999999972715e-01,1.812644105462588229e+01
8.030499999999972660e-01,1.809075512747697800e+01
8.030999999999971495e-01,1.805511217242286293e+01
8.031499999999971440e-01,1.801951217056013732e+01
8.031999999999971385e-01,1.798395510297492805e+01
8.032499999999970219e-01,1.794844095074293833e+01
8.032999999999970164e-01,1.791296969492937308e+01
8.033499999999968999e-01,1.787754131658908818e+01
8.033999999999968944e-01,1.784215579676641283e+01
8.034499999999968889e-01,1.780681311649524901e+01
8.034999999999967724e-01,1.777151325679906080e+01
8.035499999999967669e-01,1.773625619869084602e+01
8.035999999999967613e-01,1.770104192317313263e+01
8.036499999999966448e-01,1.766587041123799651e+01
8.036999999999966393e-01,1.763074164386707565e+01
8.037499999999966338e-01,1.759565560203153822e+01
8.037999999999965173e-01,1.756061226669207187e+01
8.038499999999965118e-01,1.752561161879888729e+01
8.038999999999965063e-01,1.749065363929175732e+01
8.039499999999963897e-01,1.745573830909997781e+01
8.039999999999963842e-01,1.742086560914234639e+01
8.040499999999962677e-01,1.738603552032722277e+01
8.040999999999962622e-01,1.735124802355244356e+01
8.041499999999962567e-01,1.731650309970542523e+01
8.041999999999961402e-01,1.728180072966304337e+01
8.042499999999961346e-01,1.724714089429173569e+01
8.042999999999961291e-01,1.721252357444743808e+01
8.043499999999960126e-01,1.717794875097558815e+01
8.043999999999960071e-01,1.714341640471114658e+01
8.044499999999960016e-01,1.710892651647855800e+01
8.044999999999958851e-01,1.707447906709182917e+01
8.045499999999958796e-01,1.704007403735440462e+01
8.045999999999957630e-01,1.700571140805928749e+01
8.046499999999957575e-01,1.697139115998895420e+01
8.046999999999957520e-01,1.693711327391536869e+01
8.047499999999956355e-01,1.690287773060000021e+01
8.047999999999956300e-01,1.686868451079383391e+01
8.048499999999956245e-01,1.683453359523732118e+01
8.048999999999955079e-01,1.680042496466039381e+01
8.049499999999955024e-01,1.676635859978251020e+01
8.049999999999954969e-01,1.673233448131257717e+01
8.050499999999953804e-01,1.669835258994900684e+01
8.050999999999953749e-01,1.666441290637969530e+01
8.051499999999953694e-01,1.663051541128198352e+01
8.051999999999952529e-01,1.659666008532273906e+01
8.052499999999952474e-01,1.656284690915825308e+01
8.052999999999951308e-01,1.652907586343433977e+01
8.053499999999951253e-01,1.649534692878626529e+01
8.053999999999951198e-01,1.646166008583873719e+01
8.054499999999950033e-01,1.642801531520597536e+01
8.054999999999949978e-01,1.639441259749163748e+01
8.055499999999949923e-01,1.636085191328885102e+01
8.055999999999948757e-01,1.632733324318018830e+01
8.056499999999948702e-01,1.629385656773772695e+01
8.056999999999948647e-01,1.626042186752293617e+01
8.057499999999947482e-01,1.622702912308678691e+01
8.057999999999947427e-01,1.619367831496968080e+01
8.058499999999946262e-01,1.616036942370150697e+01
8.058999999999946207e-01,1.612710242980154263e+01
8.059499999999946152e-01,1.609387731377855602e+01
8.059999999999944986e-01,1.606069405613072476e+01
8.060499999999944931e-01,1.602755263734570335e+01
