mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
seeing,,good,good,good,good,average,average,average,average,bad,bad,bad,bad,good,good,good,good,average,average,average,average,bad,bad,bad,bad,good,good,good,good,average,average,average,average,bad,bad,bad,bad
zenith_angle,,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60,0,30,45,60
ao_mode,,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,LGS_ON,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,NGS,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF,LGS_OFF
band,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
13,67504.18307,1.794442,1.973972,2.094856,2.155784,2.027283,2.23583,2.442064,2.587377,2.398104,2.577583,2.94804,3.438891,1.381366,1.413636,1.444302,1.584107,1.540254,1.607299,1.710628,1.9764,1.880336,2.066386,2.292859,2.718507,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
14,26873.89932,1.799769,1.976708,2.116168,2.158046,2.044618,2.229949,2.467793,2.617097,2.41957,2.599849,2.965092,3.530203,1.552067,1.550431,1.575802,1.722665,1.780953,1.833508,1.879042,2.197707,2.278653,2.348452,2.498347,3.039184,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
15,10698.69202,1.822759,2.000713,2.132592,2.229899,2.089438,2.262077,2.482887,2.674872,2.487181,2.688248,3.008469,3.655122,1.980796,1.989588,2.04899,2.184138,2.389903,2.421527,2.555098,2.919574,3.06913,3.145141,3.318018,3.834213,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
16,4259.226009,1.864716,2.041856,2.156641,2.284278,2.156506,2.341839,2.567095,2.728755,2.567738,2.763851,3.123359,3.872197,3.118065,3.019057,2.820926,2.740188,3.862547,3.762417,3.56701,3.651344,4.952298,4.763809,4.55707,4.877295,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
17,1695.628415,1.956315,2.127017,2.269122,2.393141,2.23328,2.432765,2.665884,3.011023,2.790488,3.066081,3.402004,4.151675,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
18,675.0418307,2.303258,2.426184,2.707665,2.878215,2.736581,2.925259,3.473229,3.586919,3.299974,3.705342,4.282185,5.38699,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
19,268.7389932,3.11382,3.388335,3.536398,3.753381,3.680026,3.990459,4.663991,5.042593,4.620584,4.905817,5.765118,7.222549,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
20,106.9869202,5.240481,5.309628,5.656202,6.12603,5.380106,6.373038,7.020091,7.715272,6.674468,7.894334,8.927135,11.69057,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
21,42.59226009,6.279134,7.065755,6.289355,7.383738,7.718909,7.867574,7.522438,8.746451,9.285584,9.360658,9.607195,12.68625,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
22,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
23,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24
