mag,Flux[e-],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm],WFE[nm]
6,42592260.09,183.8638031,185.7010742,191.9339447,206.9415619,236.5708923,206.8446991,209.1206848,215.73927,233.2703491,269.0023315,241.8774109,244.9431458,256.3496613,277.3317139,322.4278259,185.7498779,187.713974,191.9285278,207.0418243,236.5708618,207.1377716,207.9657745,215.7554321,233.2897339,269.0013428,241.9024658,244.9593658,256.6506348,277.343689,322.4342346,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,127.6826057,128.3332901,130.6715469,138.9337006,157.1354828,135.4587555,136.3235016,139.4195328,149.0212708,170.2638397,149.5916748,150.7980957,155.0999222,166.8789673,193.0794525,127.8173301,128.4680521,130.806362,139.0648993,157.2638782,135.5844318,136.4490753,139.5446872,149.1428986,170.3827008,149.7914136,150.9965546,155.2839999,167.0282459,193.1869427,127.9018036,128.5517242,130.887204,139.1371582,157.3194824,135.6582916,136.5219269,139.6140686,149.2032654,170.4257294,149.7619476,150.9669495,155.2638794,167.0305237,193.2109283,128.2351793,128.8848604,131.2192606,139.4571826,157.6221587,135.9969891,136.8599799,139.949375,149.5246624,170.7248549,150.1305624,151.3343894,155.6262136,167.3754036,193.5243624
7,16956284.15,183.8402924,185.6983368,191.9225647,206.5743652,236.570993,205.6253906,207.9509399,215.7226471,233.2402802,269.000354,241.8752655,244.938739,255.1447205,277.302655,322.4098206,184.7950668,186.7059402,191.9255371,206.808075,236.5709,206.3815613,207.9584579,215.7377853,233.2649841,269.000824,241.8888702,244.9489288,255.8976517,277.3231354,322.4231567,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,128.2439575,128.8947983,131.2332764,139.4803619,157.6704636,135.9824066,136.8467255,139.9410095,149.5280533,170.7590942,150.4239197,151.6250076,155.8669128,167.5009613,193.5273285,128.8889612,129.5408402,131.8848956,140.1252539,158.3102744,136.7465314,137.6114032,140.7102374,150.2882523,171.5050348,151.4397266,152.6402743,156.883692,168.5012116,194.4902051,129.2908691,129.9397919,132.2707733,140.4705933,158.5806335,137.0695313,137.930481,141.0111786,150.5424194,171.6720856,151.2978424,152.4979492,156.7736053,168.4675232,194.5169037,130.6167109,131.2663097,133.605076,141.7852041,159.8697282,138.5035796,139.3640811,142.4491102,151.9560376,173.0445761,152.9981115,154.1958203,158.4696812,170.1259871,196.0965421
8,6750418.307,183.8405273,185.6985535,191.9227844,206.5746246,236.5712524,205.6256561,207.9512146,215.7229828,233.2405762,269.0006714,241.8756042,244.9390594,255.1450653,277.3029663,322.4102173,183.8403473,185.697998,191.9226303,206.5744247,236.5710373,205.6254501,207.9512405,215.7202454,233.2403488,269.0004272,241.8753967,244.9386215,255.1447983,277.3027039,322.4120483,183.8798828,185.7314301,191.9346924,206.5744934,236.5709381,206.2026062,207.9650574,215.7378693,233.2462769,269.0412292,242.5537415,244.9428406,255.1541748,277.3204651,322.4099426,127.4200897,128.0745392,130.4264374,138.7275238,157.016861,135.220932,136.0897827,139.2004242,148.8404083,170.1673584,149.3936768,150.604599,154.9221344,166.7386322,193.02034,130.9314728,131.5866394,133.9483566,142.1674118,160.3363419,139.1662598,140.0328827,143.1461258,152.695549,173.8671799,154.6564484,155.8552856,160.1034927,171.6686707,197.5393143,133.1974762,133.8562317,136.244025,144.1742789,162.3981076,141.7787903,142.647431,145.784042,155.3312369,176.2139145,157.7843238,158.9829559,163.2577353,174.835553,200.3936118,134.81521,135.4669495,137.830368,145.9481384,163.9518616,143.0447327,143.9038147,147.0025604,156.4324951,177.3907959,158.3822968,159.5724121,163.8405884,175.3777893,201.0987305,138.9328323,139.5927486,142.0260123,150.197344,168.3155733,147.4862334,148.3511975,151.5174227,161.0068198,182.0777839,163.3393149,164.5315395,168.8638364,180.4581794,206.272396
9,2687389.932,183.8411133,185.6990936,191.9233459,206.5752838,236.5719147,205.626355,207.9519043,215.7232483,233.2413116,269.0014709,241.8764618,244.9398804,255.1459595,277.3038879,322.4112183,183.8406601,185.6983109,191.9229355,206.5747757,236.5713959,205.6258163,207.9515839,215.7206268,233.2407455,269.0008545,241.8758316,244.9390793,255.1452713,277.3031769,322.4119568,183.8401947,185.6978455,191.9226074,206.5742645,236.5708923,205.6252594,207.9513245,215.7201996,233.2401428,269.0002136,241.8758087,244.9387054,255.1447601,277.308075,322.4100647,127.4645081,128.1247711,130.4974213,138.84552,157.2588043,135.2715607,136.1462402,139.2774963,148.9636841,170.4097443,149.460907,150.6779633,155.016861,166.8804779,193.2796631,140.3731537,141.0432739,143.5136414,150.5293579,168.9270325,150.0518036,150.9268341,154.1374435,163.6775818,183.6452408,167.6892624,168.8872452,173.24617,184.8640137,209.4322205,145.9133997,146.5992596,149.1759546,156.3015124,174.9020166,156.1738434,157.0617902,160.3710971,170.011872,190.1587161,174.5733249,175.7788114,180.2178357,191.9124848,216.6003125,151.9719696,152.6577789,155.3122192,163.6531616,182.1339935,161.5509857,162.4345764,165.8144867,175.4921814,196.9199127,179.0365387,180.2354431,184.7707886,196.5460815,222.6556702,161.6707213,162.3899957,165.2559455,173.8699927,192.8523175,172.1266573,173.038198,176.6081417,186.5357732,208.3988788,190.6277982,191.8447561,196.5277695,208.4937236,234.9250887
10,1069869.202,183.8426239,185.70047,191.9247925,206.5768188,236.5736359,205.6281311,207.9536926,215.7229706,233.2431915,269.0035278,241.8786499,244.9419983,255.1482178,277.3062561,322.4137939,183.8414536,185.6991043,191.9236984,206.5753784,236.5723038,205.6267548,207.9524155,215.7215881,233.2417374,269.0019836,241.8769684,244.9402466,255.1464691,277.3044281,322.4127502,183.8402557,185.6979065,191.9226532,206.5742798,236.5709381,205.625351,207.9509125,215.7201691,233.2402344,269.0003052,241.8757019,244.9387207,255.1448669,277.3077698,322.4101868,127.5807724,128.2562256,130.683136,139.1540222,157.8903351,135.4040985,136.2940216,139.4791412,149.2860107,171.0426941,149.6368256,150.8699341,155.2646637,167.2513275,193.9570313,163.4575119,164.1932144,167.1066132,174.5800018,193.8227997,175.5603027,176.489151,180.1110001,190.0704575,210.7847214,196.3728561,197.6021042,202.2947769,214.2326431,239.2992706,173.761915,174.5456351,177.724231,185.9026013,205.9315863,186.7113177,187.6851898,191.5602738,201.9223325,223.729205,208.3385715,209.6076413,214.5326144,226.8562289,253.0301263,192.3834351,193.2086823,196.7444122,206.223291,226.7936768,205.6162842,206.616333,210.7880493,221.5071472,244.748938,227.3334534,228.6075806,233.7582092,246.3279236,273.7782471,209.436667,210.3454081,214.3249051,224.6166836,246.8112603,223.8876157,224.9694058,229.5854458,241.1193733,266.0067959,246.8626931,248.2139341,253.7996755,267.1975334,296.3317022
11,425922.6009,183.8465973,185.7042145,191.928717,206.580603,236.5782562,205.6328278,207.9583984,215.7277863,233.2482117,269.0090027,241.8844635,244.9476532,255.1541718,277.3125244,322.4206421,183.8435135,185.7011642,191.9256668,206.5773087,236.5746689,205.6292038,207.9547195,215.7240753,233.2443237,269.0048676,241.8799515,244.9432755,255.1495667,277.3076782,322.4159546,183.8404388,185.6980896,191.9228363,206.5744324,236.5711365,205.6255493,207.9511261,215.7203674,233.2404633,269.0005493,241.8756256,244.9387665,255.1451111,277.3061523,322.4101868,127.9022751,128.6196289,131.1959991,140.0042725,159.6235352,135.7705383,136.7024994,140.0360413,150.1746216,172.7814941,150.1230469,151.4003448,155.9488068,168.2737274,195.8193359,206.3925247,207.3283005,211.3466873,221.7574997,244.2760773,222.0228653,223.1393127,227.8163071,239.45327,264.7200699,246.2300034,247.6251755,253.2857666,266.8309174,296.5111694,225.400936,226.4401993,230.9804898,242.387883,267.0342011,242.1510947,243.3736645,248.5900345,261.2877603,288.8492307,267.6077738,269.1186795,275.3725085,290.1373432,322.4905139,263.4385681,264.6117065,269.9964661,282.8624268,310.2002747,281.7468323,283.0874695,289.1105347,303.2247559,333.3233459,308.7052856,310.3007202,317.2643188,333.2846313,367.7509766,296.1944709,297.5293589,303.7545476,318.3251368,349.2241883,316.5102625,318.0189231,324.9271831,340.8655303,377.7569538,346.0878813,347.8650913,358.3267514,376.6575532,416.0509356
12,169562.8415,183.858316,185.7156708,191.9404755,206.5929718,236.5916473,205.6465973,207.9722168,215.741745,233.2627045,269.0247742,241.9013184,244.9640228,255.1714417,277.3306152,322.4403564,183.8491821,185.7068253,191.9311752,206.5832672,236.5811234,205.6359253,207.9612198,215.7308807,233.2513962,269.0124817,241.888092,244.9515457,255.1580276,277.3165131,322.4249268,183.8408813,185.6985321,191.9232483,206.5747528,236.5716553,205.6260834,207.9516602,215.7209167,233.2410126,269.0011597,241.8762512,244.9394226,255.145813,277.3065186,322.4110107,128.8928833,129.7383575,132.7699738,142.5984497,164.8483887,136.8991699,137.9595795,141.745163,152.8879395,178.0375061,151.6186218,153.0307617,158.0468597,171.3959351,201.4614563,285.5942383,286.9612122,293.1541977,307.7174301,339.101593,305.8904877,307.4491119,314.3735046,330.4303131,365.2582397,335.3040466,337.1814423,345.313858,363.9410248,404.7584381,321.5583936,323.1240699,330.3221854,346.9956131,382.9651233,344.2027655,345.9782709,354.0037134,372.4045648,412.3455285,377.1100134,379.2410797,388.6549115,415.6350495,464.1918988,399.9214966,401.7685913,410.6551392,430.6237183,472.7999146,426.594458,428.6351929,438.3465698,460.0613159,518.4633789,464.4661011,466.8189331,488.3577881,514.0051392,569.0008057,466.2332944,468.3814028,478.9425835,502.5670962,552.6036734,497.7183818,500.0876314,511.6238989,537.3342524,631.2539863,542.6402915,545.3652993,592.5534014,624.7013335,693.938507
13,67504.18307,183.8983398,185.7546112,191.9802399,206.6289154,236.6330322,205.6819946,208.0081421,215.7793121,233.3038635,269.072522,241.9428558,245.0055817,255.2159637,277.3796997,322.4978516,183.8666,185.7242355,191.9480896,206.6013947,236.6006012,205.656456,207.9810104,215.7515564,233.2727432,269.0354004,241.912674,244.9765244,255.1835098,277.3429718,322.4518585,183.8420258,185.6996765,191.924469,206.5758972,236.5729523,205.6274414,207.9530334,215.7223053,233.2424622,269.0027161,241.8778381,244.9410706,255.1476288,277.3079224,322.4129333,132.4801483,133.7931061,138.3213959,150.9096527,178.3072357,141.0816803,142.5990753,147.8771057,161.8577881,192.5068817,157.3978577,159.2599182,165.7601013,182.0276337,217.9960632,435.4448853,437.6397858,448.020813,471.3765259,521.8663025,465.5249786,467.9872742,479.4993744,505.3230286,561.4552765,509.495575,512.4299316,525.9015808,579.3327942,652.3978577,514.6064917,517.1872284,529.7494702,558.0154785,619.4761438,551.1178021,554.0193714,567.966778,599.2701599,667.6087495,604.8567566,608.3230932,624.6421863,722.5433826,817.4203943,676.2206543,679.3219727,695.1861572,730.387793,805.3155762,722.9441406,726.3536865,743.6687744,782.0318848,988.4242432,790.1918945,794.095459,922.5061768,975.2392822,1089.574561,844.7030216,848.4812265,868.465999,913.0404962,1000,904.4344843,908.60354,930.4518036,979.0876699,1000,990.7860508,995.5769237,1000,1000,1000
14,26873.89932,183.9985138,185.8538818,192.0854462,206.728418,236.7627716,205.7618927,208.0880188,215.8692963,233.4125305,269.216748,242.0258606,245.0931305,255.3136658,277.49953,322.6609009,183.9057312,185.764328,191.9919128,206.6508789,236.6601639,205.6996918,208.0255661,215.7997894,233.328064,269.1032867,241.9614716,245.0265884,255.2382889,277.4066162,322.5316467,183.845047,185.702713,191.9277191,206.5789337,236.5763702,205.6309967,207.9566498,215.7259827,233.2462311,269.0068054,241.8820343,244.9454193,255.1523743,277.3118896,322.4180908,144.3646698,146.4761963,153.7515717,171.5621338,209.5764313,154.9814148,157.2742004,165.2758636,184.5606995,226.5368042,175.5683136,178.1817322,187.4260864,210.1860352,257.4163513,765.2849121,769.0874634,788.5568848,832.3721619,928.5739746,822.1617432,826.4543457,848.1135559,896.7694092,1003.761414,906.8338318,911.9847717,937.3207703,1176.043579,1339.99176,977.7127588,982.5353028,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1378.230518,1384.152197,1417.185498,1491.440723,1652.242725,1479.153906,1485.728076,1521.931396,1603.097656,2290.601758,1626.000879,1633.601562,2129.390234,2256.32666,2532.076074,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
15,10698.69202,184.1584808,186.022995,192.2833801,207.0035065,237.1530121,205.9713623,208.2960846,216.1054871,233.7056885,269.6365845,242.2375,245.3137482,255.5637146,277.8123962,323.1144775,184.0054474,185.8676224,192.1085892,206.7912674,236.8492432,205.806076,208.1368866,215.9256134,233.4804382,269.3112183,242.0792236,245.1461563,255.3734207,277.5734863,322.7651672,183.8535461,185.7112122,191.9369354,206.5874176,236.5858917,205.6409912,207.9668121,215.7362366,233.2567139,269.0180969,241.8936768,244.9575195,255.1656036,277.3229065,322.4324036,177.742157,180.874588,192.0095825,217.764267,273.8713074,193.5049438,196.9058838,209.1018372,237.1020355,298.5280457,223.1767273,227.0237122,240.9547729,272.6026306,342.4754639,1650.40094,1658.453461,1702.041687,1800.91333,2020.449707,1780.90802,1790.070435,1838.688416,1948.696167,2192.811768,1976.400024,1987.492798,2044.443481,2779.048218,3181.719849,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
16,4259.226009,184.5847748,186.471347,192.7992798,207.6664185,238.1540985,206.3947327,208.7519653,216.6307678,234.379422,270.6647827,242.6579559,245.754422,256.0728638,278.4734192,324.1384399,184.2578278,186.1303635,192.4070053,207.1647415,237.3917084,206.0701523,208.4120712,216.2388306,233.8739929,269.8882904,242.3570023,245.4321136,255.6994629,277.9860992,323.3772583,183.880722,185.7383423,191.9663239,206.6140594,236.6155853,205.6726074,207.9989166,215.7685089,233.2894745,269.0530701,241.9299164,244.995224,255.2069397,277.35672,322.4764099,234.1064758,240.1101532,261.131958,306.3695068,402.5979004,259.4913025,265.8682861,288.4297485,337.1717224,441.6628113,306.3147888,313.3565674,338.586731,393.2329407,510.9927063,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
17,1695.628415,185.3315491,187.2579865,193.7200714,208.8820404,240.0949463,207.0859955,209.4793091,217.4828247,235.5116974,272.4856934,243.2478516,246.3755768,256.8046875,279.4550659,325.7412903,184.8036957,186.7023315,193.0675583,208.0162888,238.7004089,206.6033173,208.9711609,216.8860245,234.7171478,271.2000885,242.8381958,245.9404755,256.2933426,278.77034,324.6231537,183.9317474,185.7910614,192.0224152,206.6863098,236.7049713,205.727005,208.0548706,215.8322601,233.367218,269.1537476,241.9916687,245.0577545,255.2737732,277.4502563,322.591156,344.4952087,356.0333862,395.5951538,477.0449829,646.7354126,385.7710571,398.0159302,440.4409485,528.3739014,712.5670776,464.6065979,477.6929321,524.576355,622.7032471,923.1449585,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
18,675.0418307,186.2758911,188.2513184,194.8857025,210.4369995,242.6469666,208.0011414,210.4369141,218.5888611,236.9561157,274.7971558,244.2434387,247.4097534,257.9727112,280.927124,327.9870544,185.5732803,187.5144653,194.0276031,209.3069458,240.8210678,207.2885361,209.6932755,217.7369843,235.8593903,273.0758972,243.4259262,246.5619278,257.020462,279.7399139,326.2067871,184.0788574,185.943985,192.1950684,206.895813,236.9933624,205.8847961,208.2186432,216.0168762,233.5934143,269.4686279,242.1618652,245.2345581,255.4731293,277.6967163,322.93927,549.1026001,570.6826172,643.6079102,881.9003906,1241.265259,621.2213135,643.9293823,792.3527222,982.5355835,1371.785278,834.8970947,863.7938843,965.730896,1175.082275,2095.569824,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
19,268.7389932,186.1158958,188.0798528,194.6748247,210.1308005,242.0739411,207.8640272,210.2904319,218.4154484,236.713545,274.3556833,244.0750327,247.236387,257.7793575,280.6845712,327.5978402,185.3800496,187.3079027,193.7750353,208.9470673,240.17933,207.14031,209.5348805,217.5422811,235.5774133,272.5616128,243.3318089,246.4571293,256.8906653,279.5486232,325.8449402,184.0288391,185.8914686,192.1351624,206.8189021,236.8841661,205.8323996,208.1639252,215.953343,233.5123552,269.350708,242.1065194,245.1770782,255.4077236,277.6075744,322.8115452,1035.892822,1082.625366,1239.477295,2021.990845,2893.758545,1188.412476,1236.978271,1796.796265,2261.021729,3204.799316,1894.735229,1965.361938,2214.589355,2723.621826,5114.873535,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
20,106.9869202,186.4982316,188.4809656,195.1401525,210.7370982,243.0196951,208.239187,210.6833023,218.8693715,237.3015019,275.2696662,244.441763,247.6199039,258.220088,281.2529336,328.4765727,185.6442847,187.5845151,194.0944394,209.3583061,240.8097226,207.3982392,209.8049867,217.8539342,235.9795104,273.1796352,243.5768117,246.713007,257.1859561,279.930924,326.4354324,184.0620193,185.9255671,192.1726609,206.8624426,236.9401795,205.8687166,208.2013141,215.9944256,233.5605681,269.4132342,242.1469618,245.2188132,255.4537523,277.6611491,322.8829575,2399.527588,2513.68457,2896.116211,4949.668457,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
21,42.59226009,186.8805675,188.8820784,195.6054803,211.3433958,243.9654492,208.6143468,211.0761728,219.3232945,237.8894588,276.1836492,244.8084932,248.0034208,258.6608185,281.821296,329.3553052,185.9085198,187.8611275,194.4138434,209.7695449,241.4401152,207.6561683,210.0750929,218.1655874,236.3816076,273.7976575,243.8218144,246.9688846,257.481247,280.3132247,327.0259247,184.0951995,185.9596656,192.2101594,206.905983,236.9961929,205.9050336,208.238703,216.0355083,233.608781,269.4757603,242.1874041,245.2605482,255.4997809,277.7147238,322.9543697,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
22,0,187.2629034,189.2831912,196.070808,211.9496934,244.9112032,208.9895066,211.4690432,219.7772176,238.4774157,277.0976321,245.1752235,248.3869377,259.101549,282.3896585,330.2340377,186.1727549,188.1377399,194.7332475,210.1807837,242.0705078,207.9140974,210.3451991,218.4772405,236.7837048,274.4156799,244.0668172,247.2247622,257.7765378,280.6955255,327.6164169,184.1283798,185.9937641,192.2476578,206.9495234,237.0522062,205.9413506,208.276092,216.0765909,233.6569938,269.5382865,242.2278464,245.3022831,255.5458096,277.7682985,323.0257819,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
23,0,187.6452393,189.684304,196.5361358,212.555991,245.8569572,209.3646664,211.8619137,220.2311406,239.0653726,278.011615,245.5419538,248.7704546,259.5422795,282.9580209,331.1127703,186.43699,188.4143524,195.0526515,210.5920225,242.7009004,208.1720265,210.6153053,218.7888937,237.1858019,275.0337023,244.3118199,247.4806399,258.0718286,281.0778263,328.2069092,184.16156,186.0278626,192.2851563,206.9930638,237.1082196,205.9776676,208.3134809,216.1176736,233.7052067,269.6008126,242.2682888,245.3440181,255.5918383,277.8218732,323.0971942,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
