#length,65,meters,0.065,km,,
#wavelength,dB_420,dB_441,dB_444,T_420,T_441,T_444
2.32,11.29038131,5.33781103,5.680679754,0.845,0.923,0.918
2.33,10.83697942,5.165372995,5.672238676,0.850,0.926,0.919
2.34,10.47731915,4.90602148,5.346735134,0.855,0.929,0.923
2.35,10.64789109,4.864484122,5.165233066,0.853,0.930,0.926
2.36,10.75732782,4.899427084,4.584087023,0.851,0.929,0.934
2.37,10.57908638,4.919025678,4.67046096,0.854,0.929,0.932
2.38,10.26090428,5.003981739,4.343899689,0.858,0.928,0.937
2.39,10.03830691,5.145127498,4.846485903,0.861,0.926,0.930
2.4,9.832709393,5.16056909,4.739691854,0.863,0.926,0.932
2.41,9.948525274,5.043042452,5.383376985,0.862,0.927,0.923
2.42,9.79877781,5.037412731,5.10637169,0.864,0.927,0.926
2.43,9.556480158,5.012711256,4.828616231,0.867,0.928,0.930
2.44,9.507366955,5.186385934,4.608426678,0.867,0.925,0.933
2.45,9.281985892,5.429911506,5.010718446,0.870,0.922,0.928
2.46,9.453700503,5.764891947,5.523090629,0.868,0.917,0.921
2.47,9.534570092,5.9980512,5.376150758,0.867,0.914,0.923
2.48,9.157475828,6.189163039,5.12614949,0.872,0.912,0.926
2.49,8.479535856,6.112343883,5.423949716,0.881,0.913,0.922
2.5,8.05362524,5.74601227,4.804638282,0.886,0.918,0.931
2.51,7.910152079,5.703346823,5.051627489,0.888,0.918,0.927
2.52,8.290567906,5.754414439,5.106331497,0.883,0.917,0.926
2.53,8.727055513,6.175288653,5.061381492,0.878,0.912,0.927
2.54,8.911348226,6.409730261,4.854467952,0.875,0.909,0.930
2.55,8.579224528,6.727605802,5.694760783,0.879,0.904,0.918
