#RMS Spot Radius vs. Field
#
#File : C:\Users\mitsuko-roberts-coo\OneDrive - California Institute of #Technology\HISPEC\zemax\HISPEC_ParaxialTel_OAP_TrackCamParax.zos
#Title: 
#Date : 12/21/2022
#
#
#RMS units are in µm.
#Reference: Centroid.
#Field units are in degrees.
#Field is oriented along the +y direction.
#
#      Field	     Poly	   0.9000	   1.0000	   1.2000	   1.4000	   1.6000	   2.2000
    4.17E-04	  14.0159	  13.7858	  13.5004	  13.7824	  14.2915	  14.4852	  13.8676 
    4.25E-04	  14.2740	  14.0500	  13.7673	  14.0412	  14.5402	  14.7305	  14.1262 
    4.33E-04	  14.5323	  14.3143	  14.0341	  14.3001	  14.7894	  14.9762	  14.3848 
    4.42E-04	  14.7907	  14.5785	  14.3007	  14.5591	  15.0390	  15.2225	  14.6434 
    4.50E-04	  15.0492	  14.8428	  14.5672	  14.8181	  15.2889	  15.4692	  14.9019 
    4.58E-04	  15.3077	  15.1070	  14.8335	  15.0772	  15.5391	  15.7163	  15.1603 
    4.67E-04	  15.5664	  15.3712	  15.0996	  15.3363	  15.7896	  15.9638	  15.4186 
    4.75E-04	  15.8251	  15.6353	  15.3655	  15.5954	  16.0403	  16.2116	  15.6768 
    4.83E-04	  16.0838	  15.8994	  15.6313	  15.8544	  16.2913	  16.4597	  15.9348 
    4.92E-04	  16.3426	  16.1634	  15.8968	  16.1135	  16.5425	  16.7081	  16.1927 
    5.00E-04	  16.6013	  16.4273	  16.1622	  16.3725	  16.7939	  16.9568	  16.4504 
    5.08E-04	  16.8600	  16.6911	  16.4273	  16.6314	  17.0454	  17.2056	  16.7078 
    5.17E-04	  17.1187	  16.9548	  16.6923	  16.8903	  17.2970	  17.4547	  16.9651 
    5.25E-04	  17.3773	  17.2184	  16.9570	  17.1491	  17.5488	  17.7039	  17.2221 
    5.33E-04	  17.6358	  17.4819	  17.2215	  17.4077	  17.8006	  17.9532	  17.4789 
    5.42E-04	  17.8942	  17.7452	  17.4857	  17.6663	  18.0525	  18.2027	  17.7354 
    5.50E-04	  18.1526	  18.0084	  17.7498	  17.9248	  18.3045	  18.4523	  17.9916 
    5.58E-04	  18.4108	  18.2714	  18.0135	  18.1831	  18.5565	  18.7019	  18.2476 
    5.67E-04	  18.6688	  18.5343	  18.2771	  18.4413	  18.8085	  18.9516	  18.5032 
    5.75E-04	  18.9268	  18.7970	  18.5404	  18.6993	  19.0604	  19.2013	  18.7585 
    5.83E-04	  19.1845	  19.0596	  18.8034	  18.9571	  19.3124	  19.4511	  19.0134 
    5.92E-04	  19.4421	  19.3219	  19.0662	  19.2148	  19.5643	  19.7008	  19.2680 
    6.00E-04	  19.6995	  19.5841	  19.3286	  19.4723	  19.8162	  19.9505	  19.5222 
    6.08E-04	  19.9567	  19.8461	  19.5909	  19.7296	  20.0680	  20.2002	  19.7760 
    6.17E-04	  20.2137	  20.1079	  19.8528	  19.9866	  20.3197	  20.4498	  20.0295 
    6.25E-04	  20.4705	  20.3694	  20.1145	  20.2435	  20.5713	  20.6994	  20.2825 
    6.33E-04	  20.7271	  20.6308	  20.3759	  20.5002	  20.8227	  20.9488	  20.5351 
    6.42E-04	  20.9834	  20.8920	  20.6370	  20.7566	  21.0741	  21.1982	  20.7873 
    6.50E-04	  21.2395	  21.1529	  20.8978	  21.0127	  21.3253	  21.4474	  21.0390 
    6.58E-04	  21.4954	  21.4136	  21.1583	  21.2687	  21.5764	  21.6965	  21.2902 
    6.67E-04	  21.7509	  21.6741	  21.4185	  21.5244	  21.8273	  21.9455	  21.5410 
    6.75E-04	  22.0062	  21.9344	  21.6784	  21.7798	  22.0780	  22.1943	  21.7913 
    6.83E-04	  22.2612	  22.1944	  21.9381	  22.0349	  22.3285	  22.4429	  22.0412 
    6.92E-04	  22.5160	  22.4542	  22.1974	  22.2898	  22.5788	  22.6913	  22.2905 
    7.00E-04	  22.7704	  22.7138	  22.4564	  22.5444	  22.8290	  22.9396	  22.5393 
    7.08E-04	  23.0245	  22.9731	  22.7151	  22.7987	  23.0789	  23.1876	  22.7875 
    7.17E-04	  23.2784	  23.2322	  22.9734	  23.0527	  23.3286	  23.4354	  23.0353 
    7.25E-04	  23.5319	  23.4910	  23.2315	  23.3065	  23.5780	  23.6830	  23.2825 
    7.33E-04	  23.7851	  23.7497	  23.4893	  23.5599	  23.8272	  23.9304	  23.5291 
    7.42E-04	  24.0379	  24.0080	  23.7468	  23.8130	  24.0762	  24.1775	  23.7752 
    7.50E-04	  24.2905	  24.2662	  24.0039	  24.0659	  24.3249	  24.4244	  24.0208 
    7.58E-04	  24.5427	  24.5241	  24.2608	  24.3184	  24.5733	  24.6710	  24.2657 
    7.67E-04	  24.7946	  24.7818	  24.5173	  24.5706	  24.8215	  24.9173	  24.5101 
    7.75E-04	  25.0461	  25.0393	  24.7735	  24.8225	  25.0694	  25.1633	  24.7539 
    7.83E-04	  25.2973	  25.2965	  25.0295	  25.0741	  25.3170	  25.4091	  24.9971 
    7.92E-04	  25.5482	  25.5536	  25.2851	  25.3254	  25.5644	  25.6545	  25.2397 
    8.00E-04	  25.7988	  25.8104	  25.5405	  25.5764	  25.8114	  25.8997	  25.4816 
    8.08E-04	  26.0489	  26.0670	  25.7955	  25.8270	  26.0582	  26.1446	  25.7230 
    8.17E-04	  26.2988	  26.3234	  26.0503	  26.0774	  26.3047	  26.3892	  25.9638 
    8.25E-04	  26.5483	  26.5797	  26.3048	  26.3274	  26.5509	  26.6334	  26.2039 
    8.33E-04	  26.7975	  26.8357	  26.5591	  26.5772	  26.7968	  26.8774	  26.4435 
