Radius (arcsec),Profile (intensity)
0.01512608,0.08389297107027636
0.04537824,0.0037611653089107996
0.0756304,0.0008852616627366648
0.10588256,0.00039315841526883327
0.13613472,0.00023984340409335136
0.16638688000000001,0.00015300748760396614
0.19663904,0.00010138753001559631
0.22689120000000002,6.733236254842181e-05
0.25714336,5.23949367553106e-05
0.28739552,4.3896577481969736e-05
0.31764768,3.5379560292638865e-05
0.34789984,2.831705315051756e-05
0.378152,2.2765403616595735e-05
0.40840416,1.8551097052663072e-05
0.43865632,1.567282453041238e-05
0.46890848,1.3545078562979015e-05
0.49916064,1.1789481494032486e-05
0.5294128,1.0379162864689842e-05
0.55966496,9.41666089404296e-06
0.58991712,8.91787615427715e-06
0.62016928,8.062020217560361e-06
0.65042144,7.699097948199045e-06
0.6806736,7.0820435959773074e-06
0.71092576,6.435451046328052e-06
0.74117792,5.385579779820051e-06
0.77143008,4.842340071286881e-06
0.80168224,4.289893084001694e-06
0.8319344,3.996335727159006e-06
0.86218656,3.3935910826291846e-06
0.89243872,3.12083215881963e-06
0.92269088,2.750782119572653e-06
0.95294304,2.525558323953971e-06
0.9831952,2.2880154351159496e-06
1.01344736,2.0430635367371777e-06
1.04369952,1.8341190923530744e-06
1.07395168,1.7061802659694541e-06
1.10420384,1.5596191893391466e-06
1.134456,1.3978222926711194e-06
1.16470816,1.24809183987394e-06
1.19496032,1.1296056380677326e-06
1.22521248,1.0520575121593842e-06
1.25546464,9.519365113718729e-07
1.2857168,8.851316310934551e-07
1.31596896,8.092499695942406e-07
1.34622112,7.31854087591734e-07
1.37647328,6.622328727683872e-07
1.40672544,6.304521085530899e-07
1.4369776,5.938005585897783e-07
1.46722976,5.360050435161748e-07
1.49748192,4.7597345913437335e-07
1.52773408,4.3044946985290545e-07
1.55798624,3.913385207164835e-07
1.5882384,3.662360115306299e-07
1.61849056,3.414007255121307e-07
1.64874272,3.1329829581171574e-07
1.67899488,2.892597643943751e-07
1.70924704,2.7005511068937075e-07
1.7394992,2.531176143664236e-07
1.76975136,2.3999544665359093e-07
1.80000352,2.2577986961309963e-07
1.83025568,2.2433663565541327e-07
1.86050784,1.7773696575525423e-07
1.89076,1.7009286824803246e-07
1.92101216,1.6174731791910784e-07
1.95126432,1.5354544563418986e-07
1.98151648,1.4585658924485142e-07
2.01176864,1.3555017107480095e-07
2.0420208,1.2929265042590184e-07
2.07227296,1.2469040348971945e-07
