Radius (arcsec),Profile (intensity)
0.01512608,0.09419073195983309
0.04537824,0.002272827614855836
0.0756304,0.0007554864607927802
0.10588256,0.0003296941668446765
0.13613472,0.00019771757728238003
0.16638688000000001,0.00012291717525714756
0.19663904,7.231137278576557e-05
0.22689120000000002,4.225678081355074e-05
0.25714336,3.5922048207468934e-05
0.28739552,2.7889112357086173e-05
0.31764768,1.9729350526806884e-05
0.34789984,1.6386902775105653e-05
0.378152,1.3974446104323865e-05
0.40840416,9.796358682020731e-06
0.43865632,9.892468927488288e-06
0.46890848,9.575628491740012e-06
0.49916064,1.1627553456710202e-05
0.5294128,9.848233070944634e-06
0.55966496,8.302265949317135e-06
0.58991712,8.098603727098715e-06
0.62016928,7.4962107209296934e-06
0.65042144,7.223159020428354e-06
0.6806736,6.905967984250607e-06
0.71092576,6.331637160612466e-06
0.74117792,5.278469159956505e-06
0.77143008,4.619682626336541e-06
0.80168224,4.02313460135141e-06
0.8319344,3.900401269627851e-06
0.86218656,3.21595417495575e-06
0.89243872,2.9623530857999974e-06
0.92269088,2.737545264152684e-06
0.95294304,2.401218904043887e-06
0.9831952,2.227125766272502e-06
1.01344736,2.0065300734747085e-06
1.04369952,1.8209822295949568e-06
1.07395168,1.6936106909923675e-06
1.10420384,1.5796388782578579e-06
1.134456,1.2767445488654295e-06
1.16470816,1.1864515081918767e-06
1.19496032,1.1018470458905294e-06
1.22521248,1.0394714270692936e-06
1.25546464,9.233017720544992e-07
1.2857168,8.581528047045406e-07
1.31596896,7.885254000503798e-07
1.34622112,7.036264898236375e-07
1.37647328,6.508183052287458e-07
1.40672544,6.045266448066262e-07
1.4369776,5.744700599068698e-07
1.46722976,5.117826112005388e-07
1.49748192,4.555779663915369e-07
1.52773408,4.1696411571838775e-07
1.55798624,3.8682377345869205e-07
1.5882384,3.503866326406057e-07
1.61849056,3.298473576674059e-07
1.64874272,2.9922736344351675e-07
1.67899488,2.628650168980936e-07
1.70924704,2.583003857049251e-07
1.7394992,2.4383757490039923e-07
1.76975136,2.2485597324173536e-07
1.80000352,2.1099844829491303e-07
1.83025568,2.136536859948491e-07
