Radius (arcsec),Profile (intensity)
0.01512608,0.017170095649939734
0.04537824,0.005651313633854476
0.0756304,0.0026947130058719705
0.10588256,0.00147901605681971
0.13613472,0.0008483300258829
0.16638688000000001,0.0005350124897650569
0.19663904,0.0003623708152414908
0.22689120000000002,0.0002637758332025267
0.25714336,0.0002048186132869286
0.28739552,0.0001653564382448015
0.31764768,0.0001390639393762005
0.34789984,0.00011831212652410925
0.378152,0.00010260484569144626
0.40840416,8.816845610913417e-05
0.43865632,7.531181162127321e-05
0.46890848,6.043997353491387e-05
0.49916064,4.716266219459077e-05
0.5294128,3.74909151815174e-05
0.55966496,2.9417523592048068e-05
0.58991712,2.3338639996025935e-05
0.62016928,1.8725447029110117e-05
0.65042144,1.509212429654123e-05
0.6806736,1.240146368552734e-05
0.71092576,1.0359655593637976e-05
0.74117792,8.683304167572797e-06
0.77143008,7.404308820766602e-06
0.80168224,6.3242240334287916e-06
0.8319344,5.479444534751474e-06
0.86218656,4.760505414545375e-06
0.89243872,4.120413365487155e-06
0.92269088,3.6140815509162343e-06
0.95294304,3.194363683997298e-06
0.9831952,2.8227258605719915e-06
1.01344736,2.5056844323887274e-06
1.04369952,2.251497446711482e-06
1.07395168,2.008674181122308e-06
1.10420384,1.7980209932694837e-06
1.134456,1.6001532753779342e-06
1.16470816,1.4356998810930751e-06
1.19496032,1.30578636494329e-06
1.22521248,1.1912773886140564e-06
1.25546464,1.082908541616281e-06
1.2857168,9.858976411706077e-07
1.31596896,8.988472005886101e-07
1.34622112,8.182880926902371e-07
1.37647328,7.45764228737976e-07
1.40672544,6.844768915075224e-07
1.4369776,6.276621332592409e-07
1.46722976,5.722435841959014e-07
1.49748192,5.222242192871794e-07
1.52773408,4.783736923427849e-07
1.55798624,4.3742079554386835e-07
1.5882384,4.0129063592776227e-07
1.61849056,3.6880496874733086e-07
1.64874272,3.3945628733004986e-07
1.67899488,3.1244110059449847e-07
1.70924704,2.8973007268778613e-07
1.7394992,2.689812967903902e-07
1.76975136,2.502578545509828e-07
1.80000352,2.3350543467280643e-07
1.83025568,2.187321555875067e-07
1.86050784,1.9919157182394707e-07
1.89076,1.8410684635587477e-07
1.92101216,1.71856428325832e-07
1.95126432,1.6037677598193354e-07
1.98151648,1.5103121165826707e-07
2.01176864,1.4211528801638216e-07
2.0420208,1.336437074821671e-07
2.07227296,1.2721733739942818e-07
2.10252512,1.2148183587030887e-07
2.13277728,1.158496731964411e-07
2.16302944,1.1155246894597281e-07
2.1932816,1.0676710637761226e-07
2.22353376,1.0033385593966437e-07
2.25378592,9.519468752222321e-08
2.28403808,9.155054800093802e-08
2.31429024,8.839238536842754e-08
2.3445424,8.551019434256862e-08
2.37479456,8.257098747976905e-08
2.40504672,7.997670624789095e-08
2.43529888,7.80452686499671e-08
2.46555104,7.658651305421836e-08
2.4958032,7.535158763809366e-08
2.52605536,7.388817185808142e-08
2.55630752,7.331163534518434e-08
2.58655968,6.921513162082618e-08
2.61681184,6.703332831298625e-08
2.647064,6.519447879186317e-08
2.67731616,6.358364152876474e-08
2.70756832,6.233182338947333e-08
2.73782048,6.099818915119567e-08
2.76807264,5.959687518735724e-08
2.7983248,5.844114452430443e-08
2.82857696,5.768854616694848e-08
2.8588291200000002,5.6747005931529794e-08
2.88908128,5.6070334872637925e-08
2.91933344,5.537314330055114e-08
2.9495856,5.278106851837787e-08
2.97983776,5.024535388165778e-08
3.01008992,4.8435676182052984e-08
3.04034208,4.686959182118908e-08
3.07059424,4.523773190083655e-08
3.1008464,4.38919787472807e-08
3.13109856,4.2216605833166604e-08
3.16135072,4.122795592267047e-08
3.19160288,4.005193444028514e-08
3.22185504,3.8931105384578346e-08
3.2521072,3.791471716790499e-08
3.28235936,3.7006795325202404e-08
3.31261152,3.4051227899294385e-08
3.3428636800000002,3.205275356732522e-08
3.37311584,3.0233949687956446e-08
3.403368,2.9008355163691057e-08
3.43362016,2.7746429174630103e-08
3.46387232,2.6337233283632226e-08
3.49412448,2.5238236894347556e-08
3.52437664,2.4284026487226556e-08
3.5546288,2.33794094232145e-08
3.58488096,2.2772070525185236e-08
3.61513312,2.2105458706953235e-08
3.64538528,2.145908754134517e-08
3.67563744,1.965564735026884e-08
3.7058896,1.8092895338177737e-08
3.73614176,1.7056017046530682e-08
3.76639392,1.602065174277199e-08
3.79664608,1.5112728787724816e-08
3.8268982400000002,1.4432020377208575e-08
3.8571504,1.3928348007935594e-08
3.88740256,1.3482916288898264e-08
3.91765472,1.3126266460638334e-08
3.94790688,1.2971832673597702e-08
3.97815904,1.2838947699933925e-08
4.0084112,1.3051535793679259e-08
4.03866336,1.1749082591881607e-08
4.06891552,1.075440434978391e-08
4.09916768,1.0328219751353077e-08
4.12941984,1.0010981138307128e-08
4.159672,9.731658544721058e-09
4.18992416,9.524420776571636e-09
4.22017632,9.51060010805587e-09
4.25042848,9.50935697867176e-09
4.28068064,9.675842875336144e-09
4.3109328,9.919311757346837e-09
4.34118496,1.0098467256574896e-08
4.37143712,1.0561361876091076e-08
4.40168928,1.0029678646736531e-08
4.43194144,9.380524731799948e-09
4.4621936,9.2252131494282e-09
4.49244576,9.099588402682275e-09
4.52269792,9.049689948896405e-09
4.5529500800000005,9.114371615880136e-09
4.58320224,9.202188902990232e-09
4.6134544,9.383936591971047e-09
4.64370656,9.664338565468111e-09
4.67395872,9.89488063996418e-09
4.70421088,1.0080844128692082e-08
4.73446304,1.0609650817337075e-08
4.7647152,1.0156508945877318e-08
4.79496736,9.561065293006113e-09
4.82521952,9.391383075654636e-09
4.85547168,9.290675505236734e-09
4.88572384,9.176509494302467e-09
4.915976,9.12150087961123e-09
4.94622816,9.144879356610125e-09
4.97648032,9.149549553532503e-09
5.00673248,9.294824324372248e-09
5.03698464,9.368656282701872e-09
5.0672368,9.578907165793305e-09
5.09748896,9.91508078200601e-09
5.12774112,9.502783296604972e-09
5.15799328,8.80202668609356e-09
5.18824544,8.453937109110836e-09
5.2184976,8.148052297747059e-09
5.24874976,7.927607245190088e-09
5.27900192,7.79010486500765e-09
5.30925408,7.734704321746938e-09
5.33950624,7.697500120337013e-09
5.3697584,7.684589384266933e-09
5.40001056,7.644338379674691e-09
5.43026272,7.582869857301382e-09
5.46051488,7.71629022298701e-09
5.49076704,7.28118146921019e-09
5.5210192000000005,6.566962767641396e-09
5.55127136,6.174268666282263e-09
5.58152352,5.795650527386982e-09
5.61177568,5.5004591610674685e-09
5.64202784,5.329259034795831e-09
5.67228,5.1570239185232445e-09
5.70253216,5.019445255648282e-09
5.73278432,4.979305078459043e-09
5.76303648,5.074340209056648e-09
5.79328864,5.088259647710479e-09
5.8235408,5.167370683336521e-09
5.85379296,4.9624240345285805e-09
5.88404512,4.271852853793798e-09
5.91429728,3.9153672963967105e-09
5.94454944,3.6331650776128723e-09
5.9748016,3.4413333834585438e-09
6.00505376,3.3988666382588582e-09
6.03530592,3.3482232973885396e-09
6.06555808,3.3565222798222076e-09
6.09581024,3.4539295086124864e-09
6.1260624,3.7177962543054608e-09
6.15631456,3.78232790219859e-09
6.18656672,3.896288968283755e-09
6.21681888,3.878917942383216e-09
6.24707104,3.275778610663941e-09
6.2773232,3.0441549878570436e-09
6.30757536,2.9596140850056904e-09
6.33782752,2.9141414707766893e-09
6.36807968,2.9812592624934372e-09
6.39833184,3.0429967763430482e-09
6.428584,3.1634704110774226e-09
6.45883616,3.3408043427795516e-09
6.4890883200000005,3.655624817065034e-09
