Radius (arcsec),Profile (intensity)
0.01512608,0.08871079714969346
0.04537824,0.0023372665200807555
0.0756304,0.0007815413571457116
0.10588256,0.0003157783822945127
0.13613472,0.00020953202801281804
0.16638688000000001,0.00013113045287730884
0.19663904,8.04117310009081e-05
0.22689120000000002,5.0130960843576716e-05
0.25714336,4.4603181022152136e-05
0.28739552,3.6299933765956734e-05
0.31764768,2.8717955520730156e-05
0.34789984,2.5146500910403725e-05
0.378152,2.27063200858996e-05
0.40840416,1.8623652578396094e-05
0.43865632,1.8135868021749048e-05
0.46890848,1.6578680829511383e-05
0.49916064,1.7827940867534945e-05
0.5294128,1.5078723834068315e-05
0.55966496,1.2711599163151156e-05
0.58991712,1.205269054387449e-05
0.62016928,1.0873879085539789e-05
0.65042144,1.0148220242358503e-05
0.6806736,9.54441490498334e-06
0.71092576,8.560697240960974e-06
0.74117792,7.1966801176312384e-06
0.77143008,6.231856212291012e-06
0.80168224,5.487804465385421e-06
0.8319344,5.174849634861296e-06
0.86218656,4.381761644851838e-06
0.89243872,3.9974126620916376e-06
0.92269088,3.671495285018587e-06
0.95294304,3.2141247500939106e-06
0.9831952,2.956123385789778e-06
1.01344736,2.6671477789807622e-06
1.04369952,2.4319667988900857e-06
1.07395168,2.2516815525294087e-06
1.10420384,2.0721715274618167e-06
1.134456,1.7297143399457855e-06
1.16470816,1.6028983748781226e-06
1.19496032,1.4825808438162997e-06
1.22521248,1.387872054375678e-06
1.25546464,1.2396195928762351e-06
1.2857168,1.1495223164394047e-06
1.31596896,1.057751694868552e-06
1.34622112,9.466509844454925e-07
1.37647328,8.801825318934559e-07
1.40672544,8.167714486333448e-07
1.4369776,7.678249143069127e-07
1.46722976,6.937784591225735e-07
1.49748192,6.237408976381859e-07
1.52773408,5.73624951596353e-07
1.55798624,5.313884657312633e-07
1.5882384,4.852491883829844e-07
1.61849056,4.546824090088767e-07
1.64874272,4.175782495758105e-07
1.67899488,3.7299331097766734e-07
1.70924704,3.609640122172939e-07
1.7394992,3.409682196073342e-07
1.76975136,3.131864308659881e-07
1.80000352,2.945428942785226e-07
1.83025568,2.9178751809344715e-07
1.86050784,2.401534970428086e-07
1.89076,2.328349466633808e-07
1.92101216,2.1824196853860522e-07
1.95126432,2.00793146675037e-07
1.98151648,1.9259343351549786e-07
2.01176864,1.8214895405376533e-07
2.0420208,1.7304409891469667e-07
2.07227296,1.6406311002808296e-07
2.10252512,1.5715964021248108e-07
2.13277728,1.5053244694272884e-07
2.16302944,1.479038157583803e-07
2.1932816,1.4717046255861396e-07
2.22353376,1.2960060330072953e-07
2.25378592,1.19800162344172e-07
2.28403808,1.1880854734162624e-07
2.31429024,1.1417719181983376e-07
2.3445424,1.1020370001903444e-07
2.37479456,1.0593732725398263e-07
2.40504672,1.0254595133090816e-07
2.43529888,9.98150475332563e-08
2.46555104,9.727752027126013e-08
2.4958032,9.75710097199723e-08
2.52605536,9.499085111400319e-08
2.55630752,1.0533977128703485e-07
2.58655968,8.184278058425794e-08
2.61681184,8.255349869570562e-08
2.647064,8.105808223161093e-08
2.67731616,7.885297051541966e-08
2.70756832,7.806519142250902e-08
2.73782048,7.612275829407979e-08
2.76807264,7.40061572551185e-08
2.7983248,7.086198247822094e-08
2.82857696,7.054964793675941e-08
2.8588291200000002,7.150094992217221e-08
2.88908128,7.01659448258313e-08
2.91933344,7.323904678756211e-08
2.9495856,6.505877480121278e-08
2.97983776,5.880516066199159e-08
3.01008992,5.834695136450395e-08
3.04034208,5.678898364760181e-08
3.07059424,5.4739974573613515e-08
3.1008464,5.255489162447647e-08
3.13109856,5.050132046421756e-08
3.16135072,4.884057084746306e-08
3.19160288,4.788567516639101e-08
3.22185504,4.774422492457117e-08
3.2521072,4.6155784219096504e-08
3.28235936,5.231895929343179e-08
3.31261152,3.660977259208789e-08
3.3428636800000002,3.617479784555327e-08
3.37311584,3.445026972899489e-08
3.403368,3.4429130320370074e-08
3.43362016,3.263195132710983e-08
3.46387232,3.066413019090428e-08
3.49412448,2.97147191471006e-08
3.52437664,2.839367347766423e-08
3.5546288,2.7601479507249314e-08
3.58488096,2.8365634704448152e-08
3.61513312,2.6849433403838307e-08
3.64538528,3.011382162203267e-08
3.67563744,2.2219414593198807e-08
3.7058896,1.9852125540317167e-08
3.73614176,2.0682335293876073e-08
3.76639392,1.8487874315733952e-08
3.79664608,1.7138172777034323e-08
3.8268982400000002,1.657912478266972e-08
3.8571504,1.6234504159002166e-08
3.88740256,1.5734456566843256e-08
3.91765472,1.5014149857058193e-08
3.94790688,1.6244589479692184e-08
3.97815904,1.5438188198639628e-08
4.0084112,2.2023481790806267e-08
4.03866336,1.1466296659378689e-08
4.06891552,1.1123468523123169e-08
4.09916768,1.2003403137036303e-08
4.12941984,1.159549665853234e-08
4.159672,1.1172391103129689e-08
4.18992416,1.0761917954217516e-08
4.22017632,1.0893231239633187e-08
4.25042848,1.0904953635888663e-08
4.28068064,1.0927997581700766e-08
4.3109328,1.2530539667642399e-08
4.34118496,1.1702784529129602e-08
4.37143712,1.6616046859554936e-08
4.40168928,1.1133550265012093e-08
4.43194144,9.637007280680255e-09
4.4621936,1.0715969361188767e-08
4.49244576,1.0134938432453882e-08
4.52269792,9.96884688985277e-09
