Radius (arcsec),Profile (intensity)
0.00721926,0.002799133537337184
0.02165778,0.0027555160930795544
0.0360963,0.0027043052951874
0.05053482,0.0020372486582386903
0.06497334,0.0013759984893402892
0.07941186,0.0007700415479602645
0.09385038,0.0005023352468649109
0.1082889,0.00035599019981789214
0.12272742,0.00024462540877979663
0.13716594,0.00015783974276739656
0.15160446,0.00011745470463485515
0.16604298,9.066060961615708e-05
0.1804815,7.292954447894718e-05
0.19492002,6.149584873702468e-05
0.20935854,5.047481800882902e-05
0.22379706,4.2810446380137116e-05
0.23823558,3.751732095572147e-05
0.2526741,3.335763004029814e-05
0.26711262,2.9757263972358163e-05
0.28155114,2.725488646887452e-05
0.29598966,2.4413888671279866e-05
0.31042818,2.2292138007095663e-05
0.3248667,2.0292887585543652e-05
0.33930522,1.8285358719537793e-05
0.35374374,1.6513289436249686e-05
0.36818226,1.5136354184820863e-05
0.38262078,1.3474822162742412e-05
0.3970593,1.2181141939201238e-05
0.41149782,1.0937992673934938e-05
0.42593633999999997,9.824442066486439e-06
0.44037486,8.864346700152284e-06
0.45481338,7.992108582484584e-06
0.4692519,7.173141285906006e-06
0.48369042,6.5231871595495475e-06
0.49812894,5.940662363820783e-06
0.51256746,5.313292301478762e-06
0.52700598,4.843903483927483e-06
0.5414445,4.425136140411332e-06
0.55588302,4.077532978501562e-06
0.57032154,3.70967646408235e-06
0.58476006,3.3740624290016166e-06
0.59919858,3.141798003926116e-06
0.6136371,2.857753180516825e-06
0.62807562,2.6497703885740463e-06
0.64251414,2.4469990981612115e-06
0.65695266,2.2529190684961417e-06
0.67139118,2.0730249434700764e-06
0.6858297,1.9238456392564635e-06
0.70026822,1.779994038887339e-06
0.71470674,1.654735256253864e-06
0.72914526,1.5255832424738364e-06
0.74358378,1.4230957725874384e-06
0.7580223,1.3155552472058044e-06
0.7724608199999999,1.2245755566985715e-06
0.78689934,1.1466108537971112e-06
0.80133786,1.0692882684647118e-06
0.81577638,1.000812511347313e-06
0.8302149,9.384344088392098e-07
0.84465342,8.809532797447152e-07
0.85909194,8.284243534641518e-07
0.87353046,7.751924341616848e-07
0.88796898,7.241078614092681e-07
0.9024075,6.801987046260702e-07
0.91684602,6.448471174456242e-07
0.9312845399999999,6.053276428359114e-07
0.94572306,5.700463020600657e-07
0.96016158,5.388063879475924e-07
0.9746001,5.071075002784931e-07
0.98903862,4.811375870959751e-07
1.00347714,4.5801181981126485e-07
1.0179156599999999,4.340902968720223e-07
1.03235418,4.120293820278486e-07
1.0467927,3.908970364012964e-07
1.06123122,3.7196599679251663e-07
1.07566974,3.5263059807471524e-07
1.09010826,3.3668853662687883e-07
1.10454678,3.2088658271240373e-07
1.1189853,3.078418584834941e-07
1.13342382,2.9403848752423687e-07
1.14786234,2.818902138123294e-07
1.16230086,2.7226669455388465e-07
1.17673938,2.616418983449527e-07
1.1911779,2.5107379441899484e-07
1.20561642,2.4010887893220164e-07
1.22005494,2.3184981690354653e-07
1.23449346,2.2276157337618838e-07
1.24893198,2.1309675239545831e-07
1.2633705,2.058940984870458e-07
1.27780902,1.977381347935507e-07
1.29224754,1.908485368834059e-07
1.30668606,1.8409202535386738e-07
1.32112458,1.7663757479721805e-07
1.3355631,1.6989857787881456e-07
1.35000162,1.6470522913563645e-07
1.36444014,1.5936524596476805e-07
1.37887866,1.5420009286270677e-07
1.39331718,1.4778697815023508e-07
1.4077557,1.4330705939303885e-07
1.42219422,1.3816689452781562e-07
1.43663274,1.3263544888911493e-07
1.45107126,1.279969918545904e-07
1.4655097799999999,1.230170373109772e-07
1.4799483,1.1820608535251961e-07
1.49438682,1.1424793223253178e-07
1.50882534,1.1081569989204785e-07
1.52326386,1.0603444215986876e-07
1.53770238,1.0255554642886968e-07
1.5521409,9.862059337660457e-08
1.56657942,9.48996697015565e-08
1.58101794,9.131436776968396e-08
1.59545646,8.78850237706643e-08
1.60989498,8.455017033293852e-08
1.6243334999999999,8.059542158024086e-08
