Radius (arcsec),Profile (intensity)
0.00721926,0.03404123795529206
0.02165778,0.006151790043175523
0.0360963,0.0015418437279982218
0.05053482,0.0007959000599175545
0.06497334,0.0005260128077478622
0.07941186,0.00033769029532242496
0.09385038,0.00023747320365421755
0.1082889,0.00017586262681958494
0.12272742,0.00013778004309616848
0.13716594,0.00011353100068781223
0.15160446,9.333651820647987e-05
0.16604298,7.592462114983609e-05
0.1804815,6.255136499973579e-05
0.19492002,5.3256471103885225e-05
0.20935854,4.3822394870649255e-05
0.22379706,3.832059194563127e-05
0.23823558,3.416837677330194e-05
0.2526741,3.0437469604294165e-05
0.26711262,2.8056802296357388e-05
0.28155114,2.5803825281762654e-05
0.29598966,2.3554710211119e-05
0.31042818,2.2279424333354564e-05
0.3248667,2.0691037896937764e-05
0.33930522,1.863930786541249e-05
0.35374374,1.621650152586245e-05
0.36818226,1.453580238318871e-05
0.38262078,1.3126005592617113e-05
0.3970593,1.1687525846880498e-05
0.41149782,1.0443454923995543e-05
0.42593633999999997,9.474017177409051e-06
0.44037486,8.486513168088594e-06
0.45481338,7.67224820801892e-06
0.4692519,6.934133773832796e-06
0.48369042,6.181824498715098e-06
0.49812894,5.625624662319603e-06
0.51256746,5.155537951967282e-06
0.52700598,4.684438104491417e-06
0.5414445,4.376011522078069e-06
0.55588302,3.97321197789096e-06
0.57032154,3.5997597423217574e-06
0.58476006,3.319130337275715e-06
0.59919858,3.0199523984739727e-06
0.6136371,2.788570887890446e-06
0.62807562,2.578783077691701e-06
0.64251414,2.3482194553519182e-06
0.65695266,2.167540943849016e-06
0.67139118,2.0345135625236777e-06
0.6858297,1.9066339653553131e-06
0.70026822,1.7647777845572106e-06
0.71470674,1.6183422012450362e-06
0.72914526,1.4904318143581964e-06
0.74358378,1.3757028496373335e-06
0.7580223,1.2840578250977452e-06
0.7724608199999999,1.1997319887471143e-06
0.78689934,1.1247580044110608e-06
0.80133786,1.056754202912783e-06
0.81577638,9.837731320609569e-07
0.8302149,9.17090880020658e-07
0.84465342,8.669740180140611e-07
0.85909194,8.186030111367515e-07
0.87353046,7.680999408372965e-07
0.88796898,7.078848203404282e-07
0.9024075,6.690924812024732e-07
0.91684602,6.301614733581211e-07
0.9312845399999999,5.941592615270344e-07
0.94572306,5.602871561067011e-07
0.96016158,5.275876623168016e-07
0.9746001,5.011521397568297e-07
0.98903862,4.7394837619272177e-07
1.00347714,4.4983464916457387e-07
1.0179156599999999,4.2989692666545627e-07
1.03235418,4.1210179835141936e-07
1.0467927,3.921574329309802e-07
1.06123122,3.6703614371174005e-07
1.07566974,3.48543651927449e-07
1.09010826,3.3105156614580535e-07
1.10454678,3.15485307706018e-07
1.1189853,3.020651702643157e-07
1.13342382,2.900359527624525e-07
1.14786234,2.791832924151441e-07
1.16230086,2.6621976626070473e-07
1.17673938,2.5828082053165645e-07
1.1911779,2.5122518108715545e-07
1.20561642,2.4272434413191117e-07
1.22005494,2.3361609452171312e-07
1.23449346,2.216797024087173e-07
1.24893198,2.116098847331888e-07
1.2633705,2.0291586213693605e-07
1.27780902,1.938136886544737e-07
1.29224754,1.884849106284715e-07
1.30668606,1.8377433033616005e-07
1.32112458,1.7649761364084382e-07
1.3355631,1.6836072919304765e-07
1.35000162,1.630201877140485e-07
1.36444014,1.5795410665475628e-07
1.37887866,1.5435594483319115e-07
1.39331718,1.5062382612453938e-07
1.4077557,1.4274038278553264e-07
1.42219422,1.3608510944372876e-07
1.43663274,1.311321172049167e-07
1.45107126,1.2779513734116908e-07
1.4655097799999999,1.224283399451645e-07
1.4799483,1.175891200351639e-07
1.49438682,1.1359222627309074e-07
1.50882534,1.0948619073672541e-07
1.52326386,1.0602106745137173e-07
1.53770238,1.0282453085877536e-07
1.5521409,9.96258094295083e-08
1.56657942,9.680790589671519e-08
1.58101794,9.058362855114153e-08
1.59545646,8.60227972972592e-08
1.60989498,8.283873140920712e-08
1.6243334999999999,7.990371900080522e-08
1.63877202,7.6753495380326e-08
1.65321054,7.421112246983662e-08
1.66764906,7.126098044502447e-08
1.68208758,6.83583073982008e-08
1.6965261,6.688188044177438e-08
1.71096462,6.539302775820526e-08
1.72540314,6.375909472445952e-08
1.73984166,6.205885537198543e-08
1.75428018,5.8507202183240524e-08
1.7687187,5.500732650436655e-08
1.7831572199999999,5.3137177308976855e-08
1.79759574,5.101622566678702e-08
1.81203426,4.901486907487965e-08
1.82647278,4.7522420466079656e-08
1.8409113,4.5904089073527916e-08
1.85534982,4.45109492150124e-08
1.86978834,4.296798173450587e-08
1.88422686,4.181607766570298e-08
1.89866538,4.115834329156313e-08
1.9131039,4.1692281644086143e-08
1.92754242,3.9099575823276273e-08
1.9419809399999999,3.6432966829004515e-08
1.95641946,3.536752942388175e-08
1.97085798,3.459378574517262e-08
1.9852965,3.3841096753308026e-08
1.99973502,3.28185083645227e-08
2.01417354,3.213830799126965e-08
2.02861206,3.146152079632431e-08
2.04305058,3.090028229377275e-08
2.0574891,3.040830621259657e-08
2.07192762,3.0457423533338966e-08
2.08636614,3.10599656726623e-08
2.10080466,2.955735495088714e-08
2.11524318,2.7644183238102174e-08
2.1296817,2.7027641732505424e-08
2.14412022,2.6619695870121525e-08
2.15855874,2.6134478097894818e-08
2.17299726,2.5527929374802182e-08
2.18743578,2.51604361120113e-08
2.2018743,2.4942878956647853e-08
2.21631282,2.4615661473864613e-08
2.23075134,2.4183538886108097e-08
2.24518986,2.4266519063241975e-08
2.25962838,2.5039069407510266e-08
2.2740669,2.4120675743160334e-08
2.28850542,2.225982854575069e-08
2.30294394,2.1658303482413995e-08
2.31738246,2.122208343968376e-08
2.33182098,2.09282979774302e-08
2.3462595,2.0414238295768622e-08
2.36069802,1.9931450413437903e-08
2.37513654,1.954934325070255e-08
2.38957506,1.9401027665316112e-08
2.40401358,1.905054673420393e-08
2.4184521,1.897786474436911e-08
2.43289062,1.9618541066543015e-08
2.44732914,1.8837041824882938e-08
2.46176766,1.7279334428092463e-08
2.47620618,1.6641775247524318e-08
2.4906447,1.6117586986674365e-08
2.50508322,1.5733554431333645e-08
2.51952174,1.535401483595225e-08
2.53396026,1.4909050990283097e-08
2.54839878,1.4549905260835745e-08
2.5628373,1.4318041306865208e-08
2.57727582,1.403742412637771e-08
2.59171434,1.3818242763456568e-08
2.60615286,1.4273452714654398e-08
2.62059138,1.3847333567863362e-08
2.6350299,1.2336937706383325e-08
2.64946842,1.1800597715457542e-08
2.66390694,1.1416862122240411e-08
2.67834546,1.1083451249721053e-08
2.69278398,1.0813620275642067e-08
2.7072225,1.0606184226133575e-08
2.72166102,1.0242920657830068e-08
2.73609954,9.951641815226402e-09
2.75053806,9.859097714092647e-09
2.76497658,9.786490796864299e-09
2.7794151,1.025572596523225e-08
2.79385362,1.0240914040014721e-08
2.80829214,8.905755698404412e-09
2.82273066,8.437055846762597e-09
2.83716918,8.109694951288363e-09
2.8516076999999997,7.926503312519709e-09
2.86604622,7.823133191650863e-09
2.88048474,7.718250203651187e-09
2.89492326,7.547679490975108e-09
2.90936178,7.413545072361052e-09
2.9238003,7.390222377857187e-09
2.93823882,7.444989079144734e-09
2.95267734,8.017782376213966e-09
2.96711586,8.246646727491205e-09
2.98155438,6.95104470761301e-09
2.9959929,6.674206269421113e-09
3.0104314199999997,6.5535141295025655e-09
3.02486994,6.442259777532685e-09
3.03930846,6.425716402229845e-09
3.05374698,6.3851189944896094e-09
3.0681855,6.3161774831309174e-09
3.08262402,6.266745598946181e-09
3.09706254,6.316706160342551e-09
3.11150106,6.413719797996279e-09
3.12593958,6.948273574366159e-09
3.1403781,7.298467245122764e-09
3.15481662,6.28185343517049e-09
3.1692551399999997,5.963221149832947e-09
3.18369366,5.834393220285581e-09
3.19813218,5.790948043010084e-09
3.2125707,5.778898349033305e-09
3.22700922,5.808009808014949e-09
3.24144774,5.692749447697281e-09
