Radius (arcsec),Profile (intensity)
0.00721926,0.04679236062802374
0.02165778,0.002748380453291198
0.0360963,0.0013831789652076474
0.05053482,0.0007351569859085348
0.06497334,0.0005375101638685364
0.07941186,0.00032990167221000506
0.09385038,0.00023663111589319834
0.1082889,0.00016885534977225004
0.12272742,0.0001346626500217702
0.13716594,0.00011502113906151341
0.15160446,9.290797500415345e-05
0.16604298,7.528420224575007e-05
0.1804815,6.257869714164118e-05
0.19492002,5.339586469533025e-05
0.20935854,4.3359788259368344e-05
0.22379706,3.8394670562170514e-05
0.23823558,3.349587860144873e-05
0.2526741,3.01605543245804e-05
0.26711262,2.813873391705455e-05
0.28155114,2.5779114454516494e-05
0.29598966,2.3504134665061922e-05
0.31042818,2.2314818068964187e-05
0.3248667,2.0651670317806303e-05
0.33930522,1.876961366741896e-05
0.35374374,1.6178745251977673e-05
0.36818226,1.4468713473570102e-05
0.38262078,1.3098164596062077e-05
0.3970593,1.1772018834630234e-05
0.41149782,1.0280870718966532e-05
0.42593633999999997,9.556371978729855e-06
0.44037486,8.467225692956942e-06
0.45481338,7.668383795231424e-06
0.4692519,6.9145292028458855e-06
0.48369042,6.16291042804651e-06
0.49812894,5.591427016624525e-06
0.51256746,5.148870815632027e-06
0.52700598,4.696750635358813e-06
0.5414445,4.402029306350353e-06
0.55588302,3.971235123600214e-06
0.57032154,3.5694392223669676e-06
0.58476006,3.32303224525936e-06
0.59919858,2.9977432556068326e-06
0.6136371,2.819361067514544e-06
0.62807562,2.553569525608775e-06
0.64251414,2.347910657510225e-06
0.65695266,2.1513379800803307e-06
0.67139118,2.035052806224916e-06
0.6858297,1.914738123017668e-06
0.70026822,1.7710735440301699e-06
0.71470674,1.6113730678818798e-06
0.72914526,1.490090237628768e-06
0.74358378,1.3672620967035616e-06
0.7580223,1.2879349395456944e-06
0.7724608199999999,1.1979342604934773e-06
0.78689934,1.1231605746864012e-06
0.80133786,1.0551303688595001e-06
0.81577638,9.808340218827939e-07
0.8302149,9.157383629887073e-07
0.84465342,8.731332981010785e-07
0.85909194,8.12971911679766e-07
0.87353046,7.738557481273374e-07
0.88796898,7.009784529962316e-07
0.9024075,6.664391313471755e-07
0.91684602,6.322033501819777e-07
0.9312845399999999,5.942757267539359e-07
0.94572306,5.626965623793064e-07
0.96016158,5.255709888892555e-07
0.9746001,4.993951809137357e-07
0.98903862,4.7437623399813953e-07
1.00347714,4.4695099809692983e-07
1.0179156599999999,4.3016688453070115e-07
1.03235418,4.12173201474226e-07
1.0467927,3.9308296039076336e-07
1.06123122,3.670082946779448e-07
1.07566974,3.478191618606027e-07
1.09010826,3.325855403878968e-07
1.10454678,3.133384276896772e-07
1.1189853,3.0327442943652474e-07
1.13342382,2.9002920882955204e-07
1.14786234,2.801111866442333e-07
1.16230086,2.6471748259873607e-07
1.17673938,2.588934083730583e-07
1.1911779,2.4951722353431305e-07
1.20561642,2.434098145208334e-07
1.22005494,2.3638270617770592e-07
1.23449346,2.1954203108812653e-07
1.24893198,2.1180822254288316e-07
1.2633705,2.0210973378605974e-07
1.27780902,1.9358188584483633e-07
1.29224754,1.8869398714953058e-07
1.30668606,1.8439927946388346e-07
1.32112458,1.759416871892502e-07
1.3355631,1.6801837952080463e-07
1.35000162,1.6332956863402427e-07
1.36444014,1.5736346757035477e-07
1.37887866,1.542313019492469e-07
1.39331718,1.5188554533826206e-07
1.4077557,1.425405928352907e-07
1.42219422,1.352871014973398e-07
1.43663274,1.3141976732890818e-07
1.45107126,1.2755306655141252e-07
1.4655097799999999,1.2278853171313262e-07
1.4799483,1.1725713953516213e-07
1.49438682,1.1367699650693669e-07
1.50882534,1.0953018734245494e-07
1.52326386,1.0615164699603786e-07
1.53770238,1.0269381558147282e-07
1.5521409,9.895719919393943e-08
1.56657942,9.944570846989549e-08
1.58101794,8.857573900641646e-08
1.59545646,8.614635054106721e-08
1.60989498,8.254473797214697e-08
1.6243334999999999,8.011748752504272e-08
1.63877202,7.646761801695094e-08
1.65321054,7.456618774530001e-08
1.66764906,7.115987161967639e-08
1.68208758,6.779976578338609e-08
1.6965261,6.723777556327953e-08
1.71096462,6.518417872784728e-08
1.72540314,6.365516082806446e-08
1.73984166,6.321915973435017e-08
1.75428018,5.768033579107043e-08
1.7687187,5.48163828089436e-08
1.7831572199999999,5.33232631041887e-08
1.79759574,5.083908346540548e-08
1.81203426,4.902456991934428e-08
1.82647278,4.747773797948213e-08
1.8409113,4.584588818209075e-08
1.85534982,4.4667805507939944e-08
1.86978834,4.282372723587284e-08
1.88422686,4.1716433055892154e-08
1.89866538,4.0841715237150506e-08
1.9131039,4.354538784272108e-08
1.92754242,3.7858247069830286e-08
1.9419809399999999,3.6204482856128095e-08
1.95641946,3.5366279335032136e-08
1.97085798,3.4627134703136574e-08
1.9852965,3.37643343559529e-08
1.99973502,3.2826979871200746e-08
2.01417354,3.216798528544198e-08
2.02861206,3.1482392755824694e-08
2.04305058,3.0795257322583596e-08
2.0574891,3.0345455167966356e-08
2.07192762,3.034667090117387e-08
2.08636614,3.2076593831256266e-08
2.10080466,2.8934094691694983e-08
2.11524318,2.7510569708375092e-08
2.1296817,2.7027109940653593e-08
2.14412022,2.661813690918932e-08
2.15855874,2.611380406749285e-08
2.17299726,2.5508918647024385e-08
2.18743578,2.5119594486487125e-08
2.2018743,2.4901610316860317e-08
2.21631282,2.4625888170574425e-08
2.23075134,2.4143504872157227e-08
2.24518986,2.410185560854482e-08
2.25962838,2.598128790782351e-08
2.2740669,2.357383838060517e-08
2.28850542,2.215437460684289e-08
2.30294394,2.1650352721977398e-08
2.31738246,2.1224263805827593e-08
2.33182098,2.0944033110973442e-08
2.3462595,2.038256005851807e-08
2.36069802,1.990140428621094e-08
2.37513654,1.954637900758315e-08
2.38957506,1.9401087372164027e-08
2.40401358,1.9038818353749236e-08
2.4184521,1.8774875192665907e-08
2.43289062,2.027865994490087e-08
2.44732914,1.8570397207916063e-08
2.46176766,1.710901687003918e-08
2.47620618,1.67088944958375e-08
2.4906447,1.6103904748327032e-08
2.50508322,1.5688439934911298e-08
2.51952174,1.5389363446267097e-08
2.53396026,1.4913875530050964e-08
2.54839878,1.4522786099888359e-08
2.5628373,1.4321212032692473e-08
2.57727582,1.4052689143565358e-08
2.59171434,1.367383162310826e-08
2.60615286,1.4455008783965081e-08
2.62059138,1.3936454423515746e-08
2.6350299,1.2171169532883061e-08
2.64946842,1.1829221021043556e-08
2.66390694,1.1384207966075438e-08
2.67834546,1.1081826278189319e-08
2.69278398,1.0825969677889638e-08
2.7072225,1.0640820610294234e-08
2.72166102,1.023614130367881e-08
2.73609954,9.91087140447431e-09
2.75053806,9.881090866710862e-09
2.76497658,9.676452799297364e-09
2.7794151,1.0307609465873119e-08
2.79385362,1.0504892188236371e-08
2.80829214,8.711828930858365e-09
2.82273066,8.427841420553349e-09
2.83716918,8.07543956330927e-09
2.8516076999999997,7.929590609215746e-09
2.86604622,7.826090642655214e-09
2.88048474,7.728771208515716e-09
2.89492326,7.547872401357868e-09
2.90936178,7.388741881319012e-09
2.9238003,7.382974257487942e-09
2.93823882,7.368227937727317e-09
2.95267734,7.755828237318515e-09
2.96711586,8.813022255986265e-09
2.98155438,6.725236015620008e-09
2.9959929,6.691859178746591e-09
3.0104314199999997,6.559287556087088e-09
3.02486994,6.413551639820817e-09
3.03930846,6.4649533541554505e-09
3.05374698,6.3527577528551665e-09
3.0681855,6.320600800478225e-09
3.08262402,6.252533461967811e-09
3.09706254,6.324100316988873e-09
3.11150106,6.342280533800638e-09
3.12593958,6.776886912501896e-09
3.1403781,7.788376886811822e-09
3.15481662,6.060806312558859e-09
3.1692551399999997,5.9384159649389664e-09
3.18369366,5.840696687458147e-09
3.19813218,5.786575998886855e-09
3.2125707,5.7769542605281055e-09
3.22700922,5.804928223622561e-09
3.24144774,5.707794958454018e-09
3.25588626,5.597614027604746e-09
3.27032478,5.5887986841858105e-09
3.2847633,5.642385519565998e-09
3.29920182,5.886675894630379e-09
3.31364034,7.07707561878878e-09
3.3280788599999998,5.1585091113034346e-09
3.34251738,5.126476691610285e-09
3.3569559,4.967429906784423e-09
3.37139442,4.861384944387406e-09
3.38583294,4.863415248686034e-09
3.40027146,4.765691694211081e-09
3.41470998,4.690760391636082e-09
3.4291485,4.6326218701719675e-09
3.44358702,4.563693528340804e-09
3.45802554,4.5499596278493404e-09
3.47246406,4.698846705904369e-09
3.4869025799999998,5.950729294222405e-09
3.5013411,4.2164781960286535e-09
3.51577962,4.081537190501592e-09
3.53021814,3.885847979932733e-09
3.54465666,3.756201800173269e-09
3.55909518,3.715648566067785e-09
3.5735337,3.664223029925069e-09
3.58797222,3.5829815050832474e-09
3.60241074,3.460352094928018e-09
3.61684926,3.439540206746513e-09
3.63128778,3.3954669493026875e-09
3.6457262999999998,3.517255524876824e-09
3.66016482,4.8010036144893255e-09
3.67460334,3.0429126048742947e-09
3.68904186,2.9742268337798296e-09
3.70348038,2.8546436012489446e-09
3.7179189,2.757032754289871e-09
3.73235742,2.7138332454802096e-09
3.74679594,2.6578379394694103e-09
3.76123446,2.6671963395062715e-09
