# wavelength (nm),inst_bkg (ph/s) 
9.480000000000063665e+02,2.324300438856818977e-85
9.481000000000063892e+02,2.377814711124279060e-85
9.482000000000064119e+02,2.432549379915360050e-85
9.483000000000064347e+02,2.488532008331749677e-85
9.484000000000064574e+02,2.545790775914861391e-85
9.485000000000064801e+02,2.604354492296431914e-85
9.486000000000065029e+02,2.664252611146847853e-85
9.487000000000065256e+02,2.725515244430768474e-85
9.488000000000065484e+02,2.788173176973229867e-85
9.489000000000065711e+02,2.852257881346990843e-85
9.490000000000065938e+02,2.917801533083150831e-85
9.491000000000066166e+02,2.984837026218282105e-85
9.492000000000066393e+02,3.053397989178684444e-85
9.493000000000066620e+02,3.123518801013611544e-85
9.494000000000066848e+02,3.195234607984992922e-85
9.495000000000067075e+02,3.268581340517907784e-85
9.496000000000067303e+02,3.343595730522924688e-85
9.497000000000067530e+02,3.420315329096995220e-85
9.498000000000067757e+02,3.498778524611670648e-85
9.499000000000067985e+02,3.579024561196573910e-85
9.500000000000068212e+02,3.661093557626055260e-85
9.501000000000068439e+02,3.745026526619159013e-85
9.502000000000068667e+02,3.830865394562172158e-85
9.503000000000068894e+02,3.918653021659682947e-85
9.504000000000069122e+02,4.008433222526729743e-85
9.505000000000069349e+02,4.100250787231838969e-85
9.506000000000069576e+02,4.194151502795838421e-85
9.507000000000069804e+02,4.290182175164058238e-85
9.508000000000070031e+02,4.388390651654606695e-85
9.509000000000070258e+02,4.488825843897288767e-85
9.510000000000070486e+02,4.591537751272654826e-85
9.511000000000070713e+02,4.696577484863435151e-85
9.512000000000070941e+02,4.803997291924700986e-85
9.513000000000071168e+02,4.913850580891517127e-85
9.514000000000071395e+02,5.026191946927482430e-85
9.515000000000071623e+02,5.141077198032176306e-85
9.516000000000071850e+02,5.258563381716869953e-85
9.517000000000072077e+02,5.378708812258873831e-85
9.518000000000072305e+02,5.501573098554159016e-85
9.519000000000072532e+02,5.627217172568899949e-85
9.520000000000072760e+02,5.755703318417262834e-85
9.521000000000072987e+02,5.887095202067083306e-85
9.522000000000073214e+02,6.021457901692167487e-85
9.523000000000073442e+02,6.158857938687341723e-85
9.524000000000073669e+02,6.299363309354850813e-85
9.525000000000073896e+02,6.443043517278902086e-85
9.526000000000074124e+02,6.589969606408004425e-85
9.527000000000074351e+02,6.740214194851403516e-85
9.528000000000074579e+02,6.893851509411517545e-85
9.529000000000074806e+02,7.050957420866428645e-85
9.530000000000075033e+02,7.211609480016842040e-85
9.531000000000075261e+02,7.375886954519251338e-85
9.532000000000075488e+02,7.543870866513446931e-85
9.533000000000075715e+02,7.715644031068255904e-85
9.534000000000075943e+02,7.891291095465414039e-85
9.535000000000076170e+02,8.070898579327627724e-85
9.536000000000076398e+02,8.254554915623198610e-85
9.537000000000076625e+02,8.442350492556474927e-85
9.538000000000076852e+02,8.634377696366801753e-85
9.539000000000077080e+02,8.830730955054150601e-85
9.540000000000077307e+02,9.031506783054908704e-85
9.541000000000077534e+02,9.236803826879545914e-85
9.542000000000077762e+02,9.446722911746683145e-85
9.543000000000077989e+02,9.661367089216883882e-85
9.544000000000078217e+02,9.880841685866883104e-85
9.545000000000078444e+02,1.010525435301159962e-84
9.546000000000078671e+02,1.033471511750120688e-84
9.547000000000078899e+02,1.056933643362262229e-84
9.548000000000079126e+02,1.080923323611655894e-84
9.549000000000079353e+02,1.105452299434512231e-84
9.550000000000079581e+02,4.204828891215871937e-27
9.551000000000079808e+02,5.314621128573469900e-17
9.552000000000080036e+02,1.069138518278587002e-16
9.553000000000080263e+02,1.613081716915533655e-16
9.554000000000080490e+02,2.163344588287606792e-16
9.555000000000080718e+02,2.719980393301156784e-16
9.556000000000080945e+02,3.283042777095399937e-16
9.557000000000081172e+02,3.852585771015823311e-16
9.558000000000081400e+02,4.428663794856849721e-16
9.559000000000081627e+02,5.011331660040995740e-16
9.560000000000081855e+02,5.600644571870839837e-16
9.561000000000082082e+02,5.825521506146106793e-16
9.562000000000082309e+02,6.052824846877665784e-16
9.563000000000082537e+02,6.282574493969270226e-16
9.564000000000082764e+02,6.514790488642086799e-16
9.565000000000082991e+02,6.749493014341280041e-16
9.566000000000083219e+02,6.986702397648596225e-16
9.567000000000083446e+02,7.226439109199498961e-16
9.568000000000083674e+02,7.468723764606366214e-16
9.569000000000083901e+02,7.713577125386667990e-16
9.570000000000084128e+02,7.961020099897423349e-16
9.571000000000084356e+02,8.220521554929465805e-16
9.572000000000084583e+02,8.482765158453980604e-16
9.573000000000084810e+02,8.747773195821327627e-16
9.574000000000085038e+02,9.015568108336993479e-16
9.575000000000085265e+02,9.286172495912998352e-16
9.576000000000085493e+02,9.559609118136628999e-16
9.577000000000085720e+02,9.835900894959281939e-16
9.578000000000085947e+02,1.011507090772020375e-15
9.579000000000086175e+02,1.039714240067051513e-15
9.580000000000086402e+02,1.068213878079798713e-15
9.581000000000086629e+02,1.096357871124098509e-15
9.582000000000086857e+02,1.124791559831822543e-15
9.583000000000087084e+02,1.153517271851505015e-15
9.584000000000087311e+02,1.182537351046624526e-15
9.585000000000087539e+02,1.211854157584009546e-15
9.586000000000087766e+02,1.241470068265535495e-15
9.587000000000087994e+02,1.271387476523028701e-15
9.588000000000088221e+02,1.301608792590598982e-15
9.589000000000088448e+02,1.332136443417159702e-15
9.590000000000088676e+02,1.362972872926879273e-15
9.591000000000088903e+02,1.391503284273453417e-15
9.592000000000089130e+02,1.420317100187751758e-15
9.593000000000089358e+02,1.449416562647916173e-15
9.594000000000089585e+02,1.478803928989700683e-15
9.595000000000089813e+02,1.508481472295778447e-15
9.596000000000090040e+02,1.538451481418795044e-15
9.597000000000090267e+02,1.568716261077491366e-15
9.598000000000090495e+02,1.599278131957010046e-15
9.599000000000090722e+02,1.630139430809260851e-15
9.600000000000090949e+02,1.661302510553701605e-15
9.601000000000091177e+02,1.687989188816519108e-15
9.602000000000091404e+02,1.714927119225254348e-15
9.603000000000091632e+02,1.742118241958713344e-15
9.604000000000091859e+02,1.769564510527732642e-15
9.605000000000092086e+02,1.797267891825953559e-15
9.606000000000092314e+02,1.825230366171057124e-15
9.607000000000092541e+02,1.853453927396727315e-15
9.608000000000092768e+02,1.881940583071841978e-15
9.609000000000092996e+02,1.910692354398377855e-15
9.610000000000093223e+02,1.939711276318358431e-15
9.611000000000093451e+02,1.962096423168534301e-15
9.612000000000093678e+02,1.984673090611735007e-15
9.613000000000093905e+02,2.007442690102772449e-15
9.614000000000094133e+02,2.030406642519497886e-15
9.615000000000094360e+02,2.053566378191517264e-15
9.616000000000094587e+02,2.076923336957964624e-15
9.617000000000094815e+02,2.100478968225800108e-15
9.618000000000095042e+02,2.124234731028452697e-15
